t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,10.482403687176678,10.482403687176678,3.494134562392226,0.24663140545053008,0.18369935729353726,0.003923185077411517,0.7338520090355889,0.7096638691726496,0.48238650240465586,0.6210953835803321,0.7965882626769912,0.42662152928167585,0.8184503288685248,0.0,0.0,0.0
0.0,11.011628893025723,11.011628893025723,3.6705429643419074,0.27434193184746014,0.3160579782141021,0.5905833520142135,0.6814050097631057,0.4106124463436882,0.855711697164033,0.7913462243744606,0.05509553258747446,0.39397539929152536,0.7664983917429287,0.0,0.0,0.0
0.0,8.969228950220835,8.969228950220835,2.989742983406945,0.5095776507178957,0.2489047536068444,0.7780016453846681,0.2811869477751746,0.30105719703267064,0.2656109226833956,0.3115344151798921,0.5276622793062758,0.00844539374016473,0.46099045960868135,0.0,0.0,0.0
1.0,4.826534212468126,14.47960263740438,4.826534212468126,0.8845320072019093,0.1732638089487325,0.5465075757222155,0.741262888974572,0.5253543760333014,0.31022004262582314,0.8457856930985231,0.85364840844885,0.5564426506716742,0.9317074206902,0.0,0.0,0.0
1.0,4.045085529753043,12.135256589259129,4.045085529753043,0.2655557937404437,0.6116826400951288,0.9227034257551311,0.3640677662967007,0.6043312466895433,0.3817828262023366,0.867543980712898,0.46432573130360466,0.35989312205849056,0.4274794130491084,0.0,0.0,0.0
1.0,4.007908901899293,12.023726705697879,4.007908901899293,0.4803487675960204,0.5810934617917903,0.5821236517492392,0.8869485179586093,0.5949314130058043,0.28609611770670573,0.7298499105524286,0.4152381739256339,0.26168186453614695,0.036281788037632934,0.0,0.0,0.0
0.0,10.27712317255597,10.27712317255597,3.4257077241853238,0.6204322758495474,0.04078914013798096,0.1380639464545681,0.43570720472856916,0.5099536795887097,0.7517872101200711,0.26225957233008734,0.9350493833472783,0.3753464223373314,0.47825723183845126,0.0,0.0,0.0
0.0,9.390449521506621,9.390449521506621,3.1301498405022072,0.20962210887865385,0.514796003727517,0.6347182870322179,0.31748993208983656,0.20347195576880817,0.6155929279394466,0.10078460540751633,0.38961916465875546,0.7453214728199434,0.06484306424305852,0.0,0.0,0.0
1.0,4.491342912312218,13.474028736936654,4.491342912312218,0.34238483419387733,0.6215408576291539,0.49554498735259134,0.047806839639521925,0.7097653611440077,0.9595029692166194,0.8639999117222987,0.9467690477886539,0.5608935065070061,0.6333309010894052,0.0,0.0,0.0
0.0,10.755743101771497,10.755743101771497,3.585247700590499,0.8043018417303903,0.44190712870897486,0.0053745380227907535,0.41743977736467175,0.2959751830622943,0.278245883119696,0.5490973303309348,0.6189462972106415,0.7514748942655911,0.4382229541643504,0.0,0.0,0.0
0.0,9.475082341792517,9.475082341792517,3.1583607805975054,0.3380773812228858,0.5907541831154268,0.2770847558816696,0.5513152313227309,0.7586024414753493,0.5150953163589493,0.5312233228628892,0.16230373200635306,0.23726134059684545,0.3907140900326005,0.0,0.0,0.0
0.0,9.967315814887268,9.967315814887268,3.322438604962423,0.36875396038126207,0.013670103409555323,0.5115720701545248,0.5209812605453461,0.4826847101731585,0.892283117832818,0.9637834539917205,0.20295331775779113,0.39277380234179116,0.1331582196360136,0.0,0.0,0.0
