t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,11.404725074637348,11.404725074637348,3.801575024879116,0.434032578336234,0.23047457683675576,0.9416232664237041,0.5275848389226371,0.00322619734265972,0.6739649001182035,0.9611366284782902,0.39702433454772856,0.021495936250523928,0.5439601044939729,0.15186483629264558,0.7259890112458055,0.0,0.0,0.0
1.0,4.1055858561217295,12.316757568365189,4.1055858561217295,0.7975842276185761,0.32718820498424916,0.4106170979304914,0.7836295159022486,0.9531761506450533,0.6995534950088277,0.8242261647467009,0.3362966719723566,0.3967738917894056,0.24985548224358423,0.9142802630671611,0.0937701244590351,0.0,0.0,0.0
1.0,4.278214222090497,12.834642666271492,4.278214222090497,0.42001966361383203,0.9125437041744501,0.02488918616451863,0.8847356881212225,0.6047991719373407,0.7047168672297115,0.775262124434877,0.4331863911562265,0.5838731178804987,0.30938424239510154,0.03254964340495192,0.8638153489439914,0.0,0.0,0.0
0.0,10.345044397698606,10.345044397698606,3.448348132566202,0.1596769708675404,0.3640224581744651,0.6704460125774444,0.385131721501483,0.40965398919784957,0.36829483418316256,0.6961748232984089,0.9520036142971093,0.00825618785711546,0.24873457766077356,0.45654353197804065,0.14629530141920954,0.0,0.0,0.0
0.0,9.497820909533122,9.497820909533122,3.1659403031777074,0.47384060792364024,0.8040671040388342,0.48977851403163497,0.11745270959283782,0.0006900253557893254,0.11033209608914196,0.9649245726066236,0.04171149596666812,0.04423068714829337,0.5912159160092731,0.2996174157075523,0.22915559863659785,0.0,0.0,0.0
1.0,3.8777219607735773,11.633165882320732,3.8777219607735773,0.6147662658540363,0.14047338437336243,0.22892455482119412,0.7044244457897479,0.3113913376381252,0.4997308948394852,0.9551645890164319,0.24769245042677612,0.2564342778418064,0.8591657507230094,0.7572802143187456,0.9120351249653393,0.0,0.0,0.0
0.0,10.654536018014886,10.654536018014886,3.551512006004962,0.9014013177050196,0.9695210389593361,0.7184475372001246,0.10064426662431503,0.03963882252201567,0.34756010265470283,0.09957473860516242,0.043152143162121015,0.9006061426112323,0.2520926276522011,0.7115765149083834,0.22571719613375296,0.0,0.0,0.0
0.0,11.373158146317717,11.373158146317717,3.791052715439239,0.5991639434694577,0.6012667743575796,0.6781765997857213,0.8412145426970598,0.3907002304721662,0.24454187589323773,0.33690149178734263,0.12461683272237556,0.6213679201789567,0.44998074181224,0.9229904456354145,0.8434354686319566,0.0,0.0,0.0
0.0,9.665903313316125,9.665903313316125,3.221967771105375,0.6561561872843252,0.10494175384921112,0.13854989610494217,0.6714994036052132,0.9050368301971159,0.8054036031039947,0.05738093700407765,0.3198391580374107,0.4151154072349086,0.8257867499844918,0.639364738697593,0.32149310671877973,0.0,0.0,0.0
1.0,3.8974248750431872,11.692274625129562,3.8974248750431872,0.0873505465363622,0.34702461955619746,0.33997440308757443,0.22120401428571823,0.45225991158374745,0.36762739096990427,0.8663280093940986,0.9577607822178553,0.8712261643475111,0.04173357867420646,0.22608242677857215,0.8635638717459523,0.0,0.0,0.0
0.0,10.033425236377125,10.033425236377125,3.344475078792375,0.737380025745038,0.108902076700647,0.33135988920393933,0.6236490944651628,0.32911392531118944,0.6476625334213689,0.13415174057644197,0.6830513703750324,0.28384720803042784,0.7406007923460117,0.8006397915131344,0.020005964637702878,0.0,0.0,0.0
0.0,10.004132139859326,10.004132139859326,3.334710713286442,0.6524605456796375,0.07237531221158366,0.2614289445437109,0.1726596030166493,0.5374794668588769,0.44539612786200355,0.43923304503310956,0.6131993583026936,0.7456561398280367,0.4267607974088161,0.7488082642838925,0.10735654841333775,0.0,0.0,0.0
0.0,11.424133699664893,11.424133699664893,3.808044566554964,0.8222017670286416,0.1326359708356133,0.8301982631359089,0.7324591665310944,0.24505272508140752,0.5440076345430906,0.5495410999399061,0.39705748626805326,0.2148062031837259,0.4082686607984668,0.7160059920532732,0.8539470874887316,0.0,0.0,0.0
1.0,4.2610667228876045,12.783200168662813,4.2610667228876045,0.7461700131295066,0.8082958735439598,0.8215721404300916,0.6848490206930744,0.317560603280281,0.8659896323891698,0.2631848840995735,0.7593482926982623,0.08066058047425939,0.005945723877984199,0.4525925690569226,0.7950346440051248,0.0,0.0,0.0
1.0,4.719189473744723,14.157568421234167,4.719189473744723,0.6614787877806932,0.9513485921614616,0.621767739556751,0.4905517809246208,0.658899948813929,0.7308090364114642,0.15227689037566483,0.48926436927749284,0.9651671002846754,0.5790631789067261,0.8542595356913661,0.25861591447977283,0.0,0.0,0.0
0.0,5.262874566320795,5.262874566320795,1.7542915221069315,0.13303862858724458,0.11853491888243117,0.27137883993527523,0.17877114230829438,0.5758508986853815,0.6283938561625212,0.05043567374291347,0.18248110261036354,0.07643127516718229,0.22909660435619006,0.4136260255642288,0.36359300563893815,0.0,0.0,0.0
