t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,11.809316404830668,11.809316404830668,3.9364388016102225,0.35333782016724413,0.8316404219234382,0.47050934891607055,0.6040834104577012,0.5579313190873314,0.45527372902291485,0.4100778483936398,0.9597025084257584,0.10315865441372485,0.05668236920955516,0.2554829429575064,0.6938387831709956,0.1881108633426073,0.0,0.0,0.0
0.0,9.787582827063542,9.787582827063542,3.2625276090211806,0.037193968999408744,0.342213655639076,0.6833919430902802,0.9374603695459429,0.06220600905154028,0.5541868404851884,0.3349026321456927,0.041335747612289864,0.9817997642526591,0.9488867198262376,0.058939892189002197,0.9440040467445725,0.036809336981848184,0.0,0.0,0.0
0.0,11.825599661792594,11.825599661792594,3.941866553930865,0.2210799450693195,0.7736890056015066,0.6318989458751291,0.4326100880770144,0.46722974596490996,0.24997145830126677,0.10849233868806529,0.7374512176315579,0.18634142806074216,0.10587724140708965,0.17190471818648312,0.6644714757616828,0.7835967984782258,0.0,0.0,0.0
1.0,4.153913337202723,12.461740011608168,4.153913337202723,0.5216375917645232,0.0016018700714726108,0.7976040345778362,0.6023742916442083,0.23475790138278485,0.6317141395965824,0.30618859178634006,0.9657146458335071,0.5923319090442198,0.8467487300370433,0.8573407378421257,0.06579904113705992,0.9391165015194768,0.0,0.0,0.0
1.0,4.195007724394569,12.585023173183707,4.195007724394569,0.609511014747895,0.2651648329628813,0.9384061135129507,0.14132963396291043,0.4121724863348425,0.7401511208743189,0.7786719528411692,0.9493208809893801,0.5700513189811093,0.6983620946788165,0.1342023061299159,0.2688344694018193,0.7283743303623784,0.0,0.0,0.0
1.0,4.6864630837979435,14.05938925139383,4.6864630837979435,0.9497665779794162,0.885247466053776,0.5230802927608432,0.4152478830640213,0.49203434882669916,0.8063107031250453,0.2513958132361295,0.6028829677858013,0.6067660507185589,0.7150267618949353,0.1404894156064349,0.8696316320639303,0.2008835323018534,0.0,0.0,0.0
1.0,4.324014727692024,12.972044183076072,4.324014727692024,0.17386020020837745,0.5583019370493358,0.9434322871683712,0.6170708152329808,0.23373939988500647,0.4895632278472687,0.22128473075390986,0.7034602301711104,0.8051281053951191,0.9184449035621676,0.36358987256460795,0.46028330230225134,0.713333281252347,0.0,0.0,0.0
0.0,9.4689273070606,9.4689273070606,3.1563091023535335,0.4044800816729437,0.5505730818731223,0.05557430662803009,0.09419116077380885,0.5770645661521544,0.31300804618110234,0.8607436337635807,0.6259973058012558,0.1543627639083267,0.12571560883843014,0.2007267440791548,0.9346123156684869,0.034319589281609386,0.0,0.0,0.0
0.0,10.6962784594293,10.6962784594293,3.5654261531431,0.3768326705115719,0.85103345986549,0.20414165848419052,0.6254374331062473,0.5521054137265275,0.5359540176307398,0.3025844336977235,0.05138286571774442,0.09965215129433624,0.652081274728704,0.08789139297438509,0.5810473460718213,0.4118347092446868,0.0,0.0,0.0
0.0,11.024934353372288,11.024934353372288,3.6749781177907628,0.06230256551141877,0.2163192693407463,0.5870307764448122,0.6937300914516603,0.35109378914606404,0.08945386854986548,0.4406666060981641,0.4881669594137922,0.5270376405914763,0.692074932235893,0.06468970895377157,0.8661773806459316,0.7246500034669311,0.0,0.0,0.0
