t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0,6.144750327794869,30.723751638974342,6.144750327794869,0.5524660110052598,0.9694317347865962,0.02027738056541417,0.48383645689098986,0.9231945649577271,0.5594683698855236,0.19258385306569392,0.4179050409924212,0.5090690005080274,0.5709996343092449,0.7931914749613835,0.9405431061845368,0.41983100436480947,0.8126516106434236,0.7388987274202089,0.40118544642226817,0.224548069328388,0.2515907793653931,0.1266287534739723,0.0,0.0,0.0,0.0,0.0
1.0,6.552262441626517,32.76131220813259,6.552262441626517,0.42989323231208487,0.8006463792368951,0.4789613346513618,0.8157689356813068,0.32681574434846083,0.44162793075411366,0.9694904303482774,0.5765018555838636,0.6167504014568641,0.3449165088526772,0.4725183343707906,0.3593208168282094,0.13759467191524977,0.6796277192305789,0.70546524244485,0.12580289180953963,0.9399060264845787,0.1618240958924888,0.6889316236329027,0.0,0.0,0.0,0.0,0.0
1.0,6.25891944025903,31.294597201295147,6.25891944025903,0.932104420696872,0.876498298122564,0.34565223794834987,0.30690187187894824,0.4717716415573222,0.7678382513058711,0.2618773405792342,0.06883694715564925,0.6642713772603013,0.9660130973447385,0.17382434990280937,0.766073492712419,0.7140873450431265,0.14348269641806455,0.5101450116018412,0.30027706060659687,0.7487407598944118,0.9663438139921388,0.15386896872085631,0.0,0.0,0.0,0.0,0.0
1.0,6.519624374947405,32.598121874737025,6.519624374947405,0.6453355624494099,0.865543696322231,0.9729638239075543,0.9919926460674856,0.4695465753575301,0.18278230742924906,0.0931204893288805,0.3880056224526597,0.5777651941325772,0.22654910893491964,0.3906167733257573,0.015191655973700313,0.2939205473882279,0.9149869135163586,0.925447521997249,0.44357452497733774,0.8779059686115561,0.18082218380849846,0.9727141545989781,0.0,0.0,0.0,0.0,0.0
0.0,25.902164948130984,25.902164948130984,5.180432989626197,0.744060470957638,0.8116038525315498,0.861061129014112,0.9510510852896923,0.5229443330826968,0.8384383611897015,0.40615980754967607,0.4143738467047823,0.15165390867969897,0.4548718080756454,0.31886710684976916,0.16189721358144005,0.0008618370205399906,0.4756539281914164,0.29979605901466866,0.6220584062873971,0.21938008193560365,0.16220633232127268,0.7953725450324957,0.0,0.0,0.0,0.0,0.0
0.0,27.126016887907667,27.126016887907667,5.425203377581534,0.9588365050687602,0.6524447418220077,0.20231136054927368,0.07234355613325749,0.6627558822369883,0.17659769980980022,0.4022107156982957,0.4772377452366754,0.003914865662210665,0.5276228883975577,0.6948546885515112,0.04224878124539033,0.30603845640091254,0.33931168185682814,0.33748488063132687,0.2701769259357374,0.6393150547054492,0.9943856866697771,0.9305691553644447,0.0,0.0,0.0,0.0,0.0
1.0,7.237613253596718,36.188066267983594,7.237613253596718,0.8472076114922904,0.47042680229913303,0.7034120191635164,0.250222227052588,0.7936822519265466,0.20800488966715347,0.9709645455710224,0.8498066334704777,0.466771077431821,0.3859382842112751,0.33140131616095037,0.8654203158981432,0.4493573269733583,0.5538709982757958,0.7918268438140662,0.21201351189824313,0.8607257323210009,0.34846818625708187,0.10309867380294135,0.0,0.0,0.0,0.0,0.0
1.0,7.3214144937003525,36.60707246850176,7.3214144937003525,0.23626486543118752,0.8145102536121727,0.9390651947008143,0.784064962244925,0.06526919544899967,0.8682499832903847,0.4912069505571379,0.12168865903378878,0.7810076727112663,0.6460794633717118,0.6369261082255959,0.8336903024962221,0.8413573804743666,0.4277912483690355,0.713517376138712,0.9567233183438714,0.19823175269508841,0.608064139951495,0.6519899446127042,0.0,0.0,0.0,0.0,0.0
1.0,6.451272441516403,32.256362207582015,6.451272441516403,0.01793161905410179,0.5295956496760317,0.5362936087500881,0.6699362806167714,0.6476147117094107,0.8488694201943403,0.6613523922166289,0.9840012856081011,0.27700128331897644,0.21033069860576736,0.6878804971802535,0.3677910208246733,0.19203959255427816,0.9108553693968546,0.1234751609204513,0.9886059356499656,0.556290206995,0.6267407947270801,0.8708172198879007,0.0,0.0,0.0,0.0,0.0
1.0,8.437420259864812,42.187101299324056,8.437420259864812,0.681819544345142,0.7082085540186767,0.9723384738656732,0.8704869104869387,0.8206091686104452,0.8567515074968315,0.9084188207781414,0.552128524527287,0.5793073124097452,0.9772160396158792,0.9288965742004618,0.6034339599481345,0.03486287050622716,0.9401487495256885,0.6899727264116011,0.565451917685479,0.9938184546896591,0.8404705842160146,0.26339875781610134,0.0,0.0,0.0,0.0,0.0
1.0,7.316249877540031,36.581249387700154,7.316249877540031,0.5326857634911942,0.9287080962869199,0.7455717236073305,0.02876887592799382,0.4749147594769523,0.977962400796146,0.97996116320553,0.8500152197334295,0.944307758565754,0.8619336846420096,0.2633193453753392,0.18594706790950155,0.7688988196819356,0.6513157374377464,0.19846597148499245,0.272763265497982,0.19416714489134523,0.9357983223530251,0.8514658000488691,0.0,0.0,0.0,0.0,0.0
0.0,28.184730718973157,28.184730718973157,5.636946143794631,0.8008717174233361,0.22844824590087098,0.24025919946245788,0.23425744449892905,0.32076913763715387,0.897683351936428,0.3441815516637675,0.9797522905315138,0.017035547551625396,0.12530419613701826,0.8892657491311051,0.15807583326796748,0.7904466472717839,0.21272479165911717,0.747176702164968,0.11590454260146454,0.04453472774353662,0.8756056640462009,0.5120086217311619,0.0,0.0,0.0,0.0,0.0
