t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1.0,5.375195979929317,21.500783919717268,5.375195979929317,0.2293778386582631,0.9612379145548453,0.499169004843964,0.06354169581779545,0.25550412962096003,0.5006545630942202,0.8838835636554834,0.4379805814850808,0.24247447277504253,0.6625807736938099,0.9385453128032463,0.4915923099757591,0.7285952939218004,0.04340927350022861,0.0,0.0,0.0,0.0
0.0,19.42332654440421,19.42332654440421,4.855831636101052,0.3356246016061718,0.6866297455152777,0.907419364280009,0.37712597483054267,0.40835627790369566,0.9987194387024787,0.8006938302487365,0.6263983920303994,0.3736352174987282,0.40756632897020717,0.09716094229813743,0.6678881980998526,0.12428300382439317,0.825622279692021,0.0,0.0,0.0,0.0
1.0,5.151855661245037,20.607422644980147,5.151855661245037,0.2707293728525493,0.7502601484953207,0.4417070341764572,0.6297262695356028,0.7029657892368738,0.10475971752320667,0.36041282779922634,0.09727729156783049,0.6846394143680075,0.5346469825222389,0.7297582612798115,0.2071106212692585,0.6359795577459895,0.7973838938240181,0.0,0.0,0.0,0.0
1.0,5.63930430578227,22.55721722312908,5.63930430578227,0.5202394501936548,0.5809688852702581,0.30472113332824124,0.023026730230729986,0.7045643793997852,0.29380657450675807,0.15544761815538566,0.7909273731787368,0.9910393582438622,0.9478918049896197,0.756721956835369,0.5447829737719652,0.2559907887301378,0.18054509561869703,0.0,0.0,0.0,0.0
1.0,6.33259050537425,25.330362021497,6.33259050537425,0.5938656752351551,0.8724308614191842,0.9399579493731542,0.16242410149365571,0.08163211917032787,0.9682092071940437,0.9706410074351804,0.8937407471925107,0.6014277512381395,0.9318408342601447,0.4701164223510146,0.8486490889495061,0.2556529668622224,0.334550223168417,0.0,0.0,0.0,0.0
1.0,5.29174193373193,21.16696773492772,5.29174193373193,0.1488304168140141,0.5866368001952439,0.0490570946672686,0.9788390410581274,0.19996469558952024,0.39148034180541424,0.8771470124506806,0.9270232119150803,0.5023557925657491,0.6199588669681494,0.3392576654501692,0.9814160477000096,0.10288276452320688,0.6088243221978679,0.0,0.0,0.0,0.0
0.0,19.72325891674566,19.72325891674566,4.930814729186415,0.1254889083347075,0.46100025409438194,0.18621788789515237,0.8326998776923433,0.630956029159726,0.21763335579992538,0.5972966336916895,0.6843386658880775,0.260517756342031,0.37029056547863615,0.9949668879159098,0.40829943919569556,0.1114843326868784,0.8841714417395318,0.0,0.0,0.0,0.0
1.0,5.177195555419168,20.70878222167667,5.177195555419168,0.184797325735505,0.42362624063075693,0.524289071745525,0.832206299316904,0.04080250946542019,0.28648666856590954,0.9648099048838806,0.6751597521440278,0.7639455767392614,0.46053162242735823,0.39264411114175257,0.5675330264833031,0.8581205637497562,0.3880413412964945,0.0,0.0,0.0,0.0
1.0,5.927579047938266,23.710316191753066,5.927579047938266,0.28514774836729784,0.9441563518462348,0.9651840223124284,0.8623572754586306,0.8420133874441315,0.4921512959735942,0.4014891282152403,0.10217347930099352,0.9147780365038487,0.7923443280162946,0.05815652504917457,0.7885473139985741,0.6905218347558139,0.49523848438898355,0.0,0.0,0.0,0.0
1.0,5.639698950817887,22.558795803271547,5.639698950817887,0.5305131812451782,0.4044075102195147,0.3056957740365228,0.7597824339441737,0.6975697244657207,0.6742144581384731,0.016053201841989773,0.32868296605315306,0.5482602262864376,0.8328648611034427,0.3962056312163845,0.7322696671440685,0.9451583245499089,0.7996868185231447,0.0,0.0,0.0,0.0
0.0,18.95858610923413,18.95858610923413,4.739646527308532,0.07195373823682227,0.258915057012714,0.6600124073538696,0.5439104660462011,0.6761194082022145,0.8735041631032913,0.6973916466290675,0.5004654654719365,0.8377590781500642,0.9617710301924518,0.018205300721961026,0.29459649682021005,0.036082984454615,0.9833114314222228,0.0,0.0,0.0,0.0
0.0,19.674388757756642,19.674388757756642,4.9185971894391605,0.2864662525302779,0.08907127593118846,0.32286417070222084,0.0892123071514983,0.9933723597130414,0.8741362067531933,0.31963813768007665,0.4997161614396922,0.7263015859627476,0.7590247131109394,0.4238716199139826,0.17248509431721937,0.8051936177471843,0.7575537247363976,0.0,0.0,0.0,0.0
