t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,9.40992459351062,9.40992459351062,3.136641531170207,0.040582650979370305,0.9214221307753064,0.14624831826989915,0.738976068200694,0.5632207819638729,0.27878554375859665,0.5372412200453291,0.14764013910116525,0.5328033238654758,0.9379281484881021,0.5469727133567339,0.0,0.0,0.0
1.0,3.3652774357986046,10.095832307395813,3.3652774357986046,0.8425011309841423,0.17135190166201797,0.6844988464161575,0.03878716967617668,0.5608188993889359,0.7170435561615529,0.031815980722776804,0.8084135143943519,0.9438335107040305,0.07319809755637585,0.4816001881816032,0.0,0.0,0.0
1.0,3.710254447007993,11.130763341023979,3.710254447007993,0.9161848430031807,0.15905055953936031,0.5360661875732431,0.4424551021447871,0.9058995840294205,0.3256620846214182,0.5948081351812604,0.3414731069010266,0.4454977656868403,0.753758406091731,0.025743647953122784,0.0,0.0,0.0
1.0,3.7055585760301795,11.116675728090538,3.7055585760301795,0.71774323343259,0.20429699978403315,0.6247619968524135,0.4749246694246937,0.44928318215756,0.5332364294828352,0.6229549594133675,0.2942128611944935,0.7940986913430346,0.4980316536586702,0.6183832921377658,0.0,0.0,0.0
0.0,8.484368166825238,8.484368166825238,2.8281227222750793,0.5336002824568131,0.5761692732504505,0.3719751565565912,0.16885444761551338,0.24409026445832926,0.40321499185842713,0.20033959357058762,0.33705340037143405,0.5455045262527819,0.6574232137230259,0.8190254037174749,0.0,0.0,0.0
1.0,3.7852260374123254,11.355678112236976,3.7852260374123254,0.4036538977054098,0.6621012246437346,0.9316617440541547,0.7154451468046309,0.31949162911327367,0.2849797092829658,0.3187471639928533,0.8249747366380168,0.35434987968319265,0.7856289094695448,0.8403341102259876,0.0,0.0,0.0
0.0,5.896580986510626,5.896580986510626,1.9655269955035422,0.3431257921567181,0.10358543789335861,0.20197667560907173,0.3526509524595659,0.6054980482105102,0.4669372818778269,0.18233905021769092,0.06971299686342147,0.1404258931965745,0.06941936970678553,0.48509873048576546,0.0,0.0,0.0
0.0,8.5601009618758,8.5601009618758,2.8533669872919334,0.3223885861847763,0.6184918356808942,0.12431386894791763,0.9646016418329082,0.9016009796881247,0.32705261610414416,0.03653466471540068,0.10842477075651502,0.1379240620726062,0.4360922522635522,0.08171144851724865,0.0,0.0,0.0
1.0,3.432095832295833,10.2962874968875,3.432095832295833,0.5388906813516751,0.5660668701964449,0.14342850804574125,0.8822301626930753,0.5148052800320264,0.9466573282506755,0.7338223082354448,0.47820907251968514,0.11172487212614213,0.2827054789670673,0.25618377895836675,0.0,0.0,0.0
0.0,8.784133904164504,8.784133904164504,2.9280446347215014,0.05243835087835724,0.8242086685781173,0.627943321351992,0.7334050503236255,0.14760070498538302,0.00047981688370746234,0.6504643003210981,0.12422424836295753,0.7800666239327602,0.3837211005169656,0.948083347954766,0.0,0.0,0.0
