t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,5.136840730017649,20.547362920070597,5.136840730017649,0.4606376935166806,0.8335312658002909,0.3657906003566185,0.10964474281119896,0.0786109807116594,0.7255427291406621,0.24329723710872875,0.625562737999385,0.9117928104016938,0.6356776104286437,0.2489769123454756,0.8421210525206364,0.9453564131441647,0.5117282161946163,0.21891621629173463,0.0,0.0,0.0,0.0
0.0,19.91191781145396,19.91191781145396,4.97797945286349,0.5937819811440541,0.8766630372533358,0.31406340404953326,0.33510882614132853,0.056976326695949875,0.8019182294541367,0.19452799990286884,0.6161399356618741,0.9388413107141221,0.8337044729947293,0.1489926998581399,0.8582309698112892,0.4416054131965874,0.12125669756642621,0.37517964830886985,0.0,0.0,0.0,0.0
0.0,18.45894231811787,18.45894231811787,4.614735579529468,0.24754597705715253,0.7259129113069681,0.1456170835303222,0.5546327030983483,0.8043935602149792,0.15689563413216123,0.15778794303421617,0.1777101479570704,0.46230181244822977,0.4603982436054338,0.5961340336001069,0.3832068977262726,0.7664811776490309,0.596202993902409,0.5520210157356609,0.0,0.0,0.0,0.0
0.0,20.253902473110053,20.253902473110053,5.063475618277513,0.7087248370554593,0.5553873093283594,0.19270416216861874,0.5387611436902493,0.4399856887954193,0.49182594982380357,0.7448424732220799,0.22936815909365127,0.4622743845593049,0.5414101765414848,0.4796348231546136,0.23455874634030893,0.765171625424548,0.25267456606662553,0.3302343111409053,0.0,0.0,0.0,0.0
0.0,18.5846265818117,18.5846265818117,4.646156645452925,0.7971585519030836,0.9128027748886586,0.049924555269745485,0.36963035504015385,0.4760139306424366,0.10813175796901464,0.526450694429587,0.40241241123178906,0.4175253977861897,0.011273428091330029,0.7846426840237878,0.21753185225067584,0.04905023812117848,0.45605741964566326,0.9955798196677583,0.0,0.0,0.0,0.0
1.0,5.41521869208362,21.66087476833448,5.41521869208362,0.9792540378659103,0.39588964035916707,0.6639919483437945,0.23211242463262938,0.2629043290432921,0.47425204184480785,0.8791085559673048,0.6261513767536118,0.39019109366813565,0.29147264447727006,0.9193895450428934,0.41135029214279484,0.40403430805680585,0.08989498573880184,0.23100733821697983,0.0,0.0,0.0,0.0
0.0,20.11866480480696,20.11866480480696,5.02966620120174,0.8297093584288088,0.5449960800862199,0.5971249632898377,0.2104407141076442,0.9212576229072237,0.8457151974062502,0.3604647849678161,0.07994989935117514,0.6668189256765938,0.8377247836754026,0.08371338057655808,0.4044692056263257,0.7807229207817841,0.2859341533520414,0.8801129689513689,0.0,0.0,0.0,0.0
0.0,16.537327065971542,16.537327065971542,4.134331766492886,0.39864156039465104,0.6390798070228664,0.467409186638473,0.38377457887606825,0.9441225567590259,0.4539041137312947,0.4957452397403189,0.05085503013785908,0.13153388724860593,0.11357132605735043,0.530423981994618,0.529708320070043,0.26915089439448614,0.2237467085603112,0.4244055135782544,0.0,0.0,0.0,0.0
0.0,12.097142461785772,12.097142461785772,3.024285615446443,0.2474656056079526,0.0950531953859336,0.6240002156007564,0.3233664156441739,0.1727325532240599,0.1155771536828255,0.39108260853799337,0.019784832790302187,0.2749753879439826,0.1781067511703831,0.5217630754156014,0.7217372439151387,0.04668302608027919,0.4436217932269859,0.8458624948703937,0.0,0.0,0.0,0.0
0.0,16.599965649970905,16.599965649970905,4.149991412492726,0.7109593446078595,0.20648120731266117,0.8591392369395359,0.12580019522366603,0.03315545478535342,0.4984257260723911,0.284906294900783,0.250414740137738,0.6708276075827293,0.26875287010581095,0.6317819492849148,0.885659765576722,0.38027918914025505,0.5036707622054073,0.29152439222852977,0.0,0.0,0.0,0.0
0.0,14.752954130371752,14.752954130371752,3.688238532592938,0.09681468293832607,0.007476762526465008,0.7106141414801568,0.16890401129732524,0.46487054392103766,0.2886190535502622,0.5736144557844088,0.7832245983563195,0.9982717013010737,0.14176744263607466,0.027888821423664778,0.8595747279984655,0.43773347308904886,0.2173881881928682,0.39916772524201527,0.0,0.0,0.0,0.0
0.0,15.137325611412907,15.137325611412907,3.7843314028532267,0.11065759230794925,0.018865710612935294,0.11811053821933104,0.8676177904008225,0.45375714485144514,0.40916276009191577,0.8100094823940022,0.13120293742222866,0.01734149767314852,0.1298535902153688,0.0457970832563136,0.2549590186359535,0.6603426846495533,0.991711400966297,0.4680487703460481,0.0,0.0,0.0,0.0
0.0,18.721685467872245,18.721685467872245,4.680421366968061,0.6402970591914511,0.5384269590315233,0.7425856722164624,0.4640962332159301,0.686698578099367,0.19974129984130828,0.6961950376922903,0.019803057201234098,0.8763209366974379,0.14235412269894632,0.39914523602288865,0.4143408279797034,0.36434275983637165,0.7316666277538902,0.38365060155757325,0.0,0.0,0.0,0.0
0.0,17.672245734067904,17.672245734067904,4.418061433516976,0.36427635969165784,0.9519259309923672,0.40237599848740746,0.3755252671761291,0.28447339509534764,0.08377959406150404,0.00014925523562137055,0.8639994409471952,0.05626109083301445,0.34476285986293453,0.10643713605270011,0.6664602457162058,0.44849251679641533,0.9743719615550704,0.12831892273474366,0.0,0.0,0.0,0.0
0.0,19.02749928240418,19.02749928240418,4.756874820601045,0.7245849485218114,0.08801315059340054,0.39274631909063384,0.3139611156305626,0.24995288939009663,0.9363849971250818,0.191926030536137,0.07614481460470957,0.6419514956001275,0.4615150570646954,0.8558329912447759,0.1507809217411734,0.869466336641992,0.8670991705113846,0.9214077539634709,0.0,0.0,0.0,0.0
1.0,5.586397211884194,22.345588847536774,5.586397211884194,0.32514345035617565,0.6233907498657517,0.448485598953152,0.926481170860983,0.48332619717514314,0.7361126856267002,0.442329656513645,0.39282065481037387,0.8660846919112131,0.475286529776067,0.7377616878202725,0.7792941696002544,0.1619382006588328,0.21269831755127533,0.7814299959551791,0.0,0.0,0.0,0.0
