t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12
1.0,4.231507018911941,12.694521056735823,4.231507018911941,0.5089124188938676,0.3837764417168952,0.9737234975217337,0.7484230827628362,0.14566545801084696,0.9042460027267372,0.4269853415859388,0.8398663849874248,0.8798571658607472,0.867959822511945,0.0,0.0,0.0
1.0,4.152668807340063,12.458006422020187,4.152668807340063,0.7117302957069633,0.05952299049710352,0.5073309413833279,0.7743548579965353,0.7458139054996307,0.9109347138680817,0.9583921841754225,0.3346501559420534,0.5216906486566611,0.6795226177394056,0.0,0.0,0.0
0.0,8.622989407795654,8.622989407795654,2.874329802598551,0.688793394585536,0.29214376796520247,0.9767404645303991,0.7267700730958633,0.7630984041468718,0.3553411657715797,0.38991341195903473,0.5866670847159465,0.2866432652529267,0.1424532950610381,0.0,0.0,0.0
0.0,9.546275865885868,9.546275865885868,3.1820919552952893,0.6313705607302856,0.11299100638239934,0.5911563404013509,0.9855072955135656,0.19743960484303336,0.6580086584273996,0.6346999610547079,0.36885567356878746,0.1255851963852216,0.48593297634361,0.0,0.0,0.0
1.0,3.6587903243744364,10.97637097312331,3.6587903243744364,0.7290754840087984,0.12481936191069953,0.677357644274706,0.7631174454064543,0.4732157292357779,0.08566497646123938,0.7183467445643675,0.7148523532614135,0.8572382381504287,0.6120246669276901,0.0,0.0,0.0
1.0,3.675907195700624,11.027721587101873,3.675907195700624,0.7462130002766577,0.9996803389170194,0.5050522011641948,0.570509157619591,0.652219202218233,0.9534795137250479,0.5307532281618493,0.2785272501971745,0.4244261096734899,0.2036823362043697,0.0,0.0,0.0
0.0,7.518193074799955,7.518193074799955,2.5060643582666517,0.4031579596377438,0.057841335815225214,0.4423510575670965,0.49691124298665257,0.7909685979884744,0.3997487988582864,0.8988850091996181,0.1550465312561291,0.07386324191140481,0.190042233990258,0.0,0.0,0.0
1.0,4.019966572090598,12.059899716271795,4.019966572090598,0.6581676143666539,0.5492944576491704,0.4556371668109265,0.4642681098844046,0.757140638114979,0.30875082017565736,0.9758032022371885,0.5464377377558505,0.25635687146020314,0.9665329399354313,0.0,0.0,0.0
1.0,3.3043543514827753,9.913063054448326,3.3043543514827753,0.5735149932808329,0.19266327740837885,0.26310800045432803,0.6293331039132375,0.7609834359595985,0.30795498421498313,0.9797383215494038,0.09560540889272018,0.20670684184587218,0.6779349477222865,0.0,0.0,0.0
1.0,3.54476604920521,10.634298147615631,3.54476604920521,0.6263384582651523,0.578371310245448,0.4600121284117724,0.8051508308258897,0.9393620494248731,0.9707223977541839,0.13916144085572546,0.9055266924919546,0.6529876354239842,0.21492389656351307,0.0,0.0,0.0
