t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,220.8138392134399,220.8138392134399,31.54483417334856,0.1803321941574486,0.3293435756261539,0.20347354865901845,0.4627455051872663,0.23064469954708822,0.23210287534645768,0.17535718377825182,0.9906771127773497,0.06601255776966819,0.7235654464211081,0.5208334638765366,0.5314820201785132,0.9293723821527358,2.3932809615409143,1.84138154408241,2.890973070915881,3.8793919675212067,4.443096634665843,3.6791239187331883,3.9104424204812007,3.2605369371516892,20.225822574818228,20.025554526030213,14.892585591836118,20.77772199227673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,268.2504736900505,268.2504736900505,38.32149624143579,0.061292799973308276,0.6281601268455264,0.6162879188643112,0.6569227385564191,0.18382443364624723,0.9012961594489098,0.9462439631203122,0.06249345535608497,0.43514579543949283,0.16568033303618745,0.2022968674222576,0.8902724380945801,0.6262575063763077,3.8943776207575507,2.2473139678706353,3.541679369288805,5.0511815669685785,5.133629110939326,3.5185902012813797,3.5029322564752463,4.624117652162534,24.100853923705124,22.568262558017928,17.24508024847809,25.747917576592037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,270.0957682173895,270.0957682173895,38.585109745341356,0.22773782881299842,0.2223940997326328,0.5701381361027383,0.11538758382783554,0.24974043309944272,0.7054345798053042,0.7748529528174187,0.5074866934343368,0.9418410044174306,0.8656794728698071,0.6123519824013168,0.2502652057963919,0.7099083121879275,3.767904788931065,2.368275893396059,4.037856464042642,4.261379157485909,5.473171837014916,4.9306753367397675,3.5803271699379575,4.371588175533254,24.092598697410736,24.7618948766646,18.703082795283233,25.492227592945746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,39.43431732264709,276.04022125852964,39.43431732264709,0.3552350518433157,0.6295895691143837,0.6086666596578953,0.7749002424479995,0.4099873032358775,0.09221088734214933,0.3369936037874772,0.7890026968684922,0.9095173122678502,0.829625744817408,0.542462448737741,0.05059367036317319,0.8572161057935495,3.9202845365776806,1.9824353740472516,4.209315377500842,4.521570377634856,5.720118530825867,4.587301775133902,3.903008693980361,4.000675612233036,24.337123966222215,24.402855363721258,19.03830606109547,26.27497312875264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,49.10268928384104,343.7188249868873,49.10268928384104,0.7177529156159265,0.7316562103447128,0.8089223801888776,0.9323618810323453,0.13439537494273834,0.7231448490384993,0.6931093961303249,0.8691527725621306,0.41544078544089225,0.8927914421943478,0.2540823294461273,0.6606743209400142,0.027696293267817307,4.53769558086954,3.0987234498233516,4.700608445742716,6.4462086273739905,7.024562277688059,5.476357170369554,4.009475810382086,5.817234889529201,31.096813500539405,30.126962043534967,23.64773652117432,32.53578563158559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,222.27747186221916,222.27747186221916,31.753924551745595,0.27245428789232873,0.32057716494443544,0.1449251353737776,0.07544761580323811,0.581968399122493,0.18457149384234317,0.3323960281863244,0.8944565209199884,0.6336915902773934,0.7291603612430737,0.3772730166762581,0.2039786541067019,0.8703934370201052,2.7015677841130024,2.1199577305509214,3.2063699533078114,3.4674813735423755,4.605975133014578,4.022479459454358,3.9329305655431215,2.902174992246539,20.234889748205347,20.78988783411733,15.302305919319123,20.816499801767428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,226.80803403847634,226.80803403847634,32.40114771978234,0.8340938573718013,0.5219827182972545,0.24116551658434005,0.07587962513137725,0.3720465730235706,0.172846390718024,0.5422803390324061,0.7426514910802403,0.9212974352984183,0.0006853327571213486,0.8565589532607693,0.22421397243130614,0.933262320608453,2.37756879425854,1.9733200746162052,3.8270560883067697,2.89375195905564,5.2645366884022895,4.365559522525591,3.3371227472303517,3.3197705603107153,20.61555811792197,22.087365681391923,16.35090425829029,21.019806837564307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,207.39068837214444,207.39068837214444,29.627241196020634,0.8740543805084644,0.0776934947272121,0.4627567311041261,0.5075400830987064,0.13805521520301123,0.2165736015924844,0.4169670326027638,0.5538600864564698,0.08714911344176746,0.012153346590999203,0.42840460631820265,0.8322904081418174,0.2929187748537895,2.4569119301831917,2.273520383047056,3.2966141859057325,3.21788999951759,4.144741368681898,3.6052974893573424,2.323938358576063,3.8887954051605753,19.145499700888912,19.532907190728668,14.264543043462563,19.32889124802505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,247.38181735618417,247.38181735618417,35.340259622312026,0.11230785481903371,0.23165916727085734,0.486595253381074,0.8211175285993823,0.4627573762247139,0.10078113308312653,0.5228700666309867,0.31667025478510136,0.05656459817936821,0.6665451462859195,0.5387051494056945,0.6658465965958372,0.0546110116121602,3.682296565897282,2.430327040556491,3.8467143167409357,4.274842522856998,4.4958248718800204,3.406773362759869,2.920959619405576,4.377526105025768,22.34619447646579,21.47812531636866,16.02415507423782,23.59816400180658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,254.08446736388115,254.08446736388115,36.29778105198302,0.9513646123336333,0.8547674808896374,0.05596800661231971,0.3144687762764382,0.24898244782729406,0.9563779607092725,0.5638765796149736,0.4302772318281187,0.8648422456560569,0.15201608105581743,0.7122830619054293,0.1556173888360355,0.7983020826645183,2.355771525878935,2.0718571096677536,3.963451193505678,3.732351953649907,6.204873866932708,4.5277290367639775,3.2038392927163946,4.110954915171213,23.287328331643653,24.082705414757726,18.42840605085227,23.571242747854836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
