t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,41.601600601406076,249.60960360843646,41.601600601406076,0.8486357568321137,0.721578708734417,0.8492014459717798,0.4451457698445137,0.22871422779223027,0.6367311435914103,0.6710895170008253,0.8231387196565225,0.43381012464799373,0.5536357743621577,0.3074892832850089,3.833887369904928,3.5395753346381005,2.6600537510059272,3.5132164366496212,4.401684536246156,13.546732892198577,10.601313621890185,10.601313621890185,14.435200991795112,14.114530058539804,13.546732892198577,0.0,0.0,0.0,0.0,0.0,0.0
1.0,55.28109523942796,331.68657143656776,55.28109523942796,0.9772474357881059,0.9170655205777254,0.3189042546246993,0.7492697398936593,0.24569655109982735,0.8472043195649321,0.3566852610408088,0.41964101018846445,0.8337660297522185,0.7421035475912565,0.8239197615495866,4.359482163915004,4.630725405088973,3.7060328166065015,5.056810324965266,5.743688426964461,17.753050710575746,14.080446648659935,14.080446648659935,18.43992881257494,19.1372569736252,17.753050710575746,0.0,0.0,0.0,0.0,0.0,0.0
0.0,198.93112225148792,198.93112225148792,33.15518704191465,0.3291843736736981,0.44769849356625746,0.3870441212352469,0.5470726430300344,0.12979703080033578,0.37136909641643123,0.03490919254082081,0.19955177420975612,0.24805708078042155,0.7644607221718974,0.6296134799136556,2.3600117104772917,3.153743571497849,2.3007541001258445,3.0893988087719744,2.955089469863518,10.90390819087296,8.409587141487211,8.409587141487211,10.769598851964503,11.498985950259186,10.90390819087296,0.0,0.0,0.0,0.0,0.0,0.0
1.0,40.152544381673955,240.91526629004372,40.152544381673955,0.636794907504177,0.07219827683816593,0.44015493926095683,0.25353812845697266,0.5631318712739556,0.8131053386682293,0.4680924212036559,0.6866966791484899,0.6016548025459607,0.6168530857237995,0.7358836366857895,3.592646352275259,3.2834147407856005,2.6248617780258874,3.1283733738771335,4.507714340443734,12.62929624496388,10.41599085925522,10.41599085925522,14.00863721153048,13.544364233132356,12.62929624496388,0.0,0.0,0.0,0.0,0.0,0.0
1.0,48.82388433630308,292.9433060178185,48.82388433630308,0.9143952539713246,0.47936679045462405,0.7930050724300524,0.8704980014439996,0.7330350768567361,0.7646435217120191,0.22806841597007366,0.8570405584509643,0.9272997126133943,0.5289006236097153,0.33403783533012377,4.266690200218541,4.666143112738645,2.989735580222524,3.8918420265218057,4.909747230518011,15.814410919701515,12.56562592347918,12.56562592347918,16.832316123697723,16.457467950000986,15.814410919701515,0.0,0.0,0.0,0.0,0.0,0.0
0.0,151.8871889013801,151.8871889013801,25.314531483563353,0.02186724344833435,0.5506063021808113,0.5936861262225965,0.2541150822234046,0.05080760513762905,0.42421836174320937,0.12888396935367818,0.33623149755528847,0.8380079010794962,0.34111934964056523,0.23854926712004143,1.9834120853140624,2.8668916336045447,1.2029497675273815,1.8304756063563663,2.594059999703765,7.883729092802355,6.663901400835691,6.663901400835691,8.647313486149754,8.494377007192057,7.883729092802355,0.0,0.0,0.0,0.0,0.0,0.0
1.0,45.09433533879287,270.5660120327572,45.09433533879287,0.8490217044757228,0.9878556091071686,0.8907599389802349,0.8954897564411561,0.6797006402808669,0.7713766538352493,0.7496646642189272,0.9771792479125594,0.01238675459274896,0.26335710109766053,0.11040706296616931,5.171673634762097,3.8399568634660053,2.890342117927588,3.8775078879231266,4.423770190574514,15.779480504078817,11.154069171968107,11.154069171968107,16.325742806730204,15.031577059891234,15.779480504078817,0.0,0.0,0.0,0.0,0.0,0.0
1.0,39.535773880554075,237.21464328332445,39.535773880554075,0.6411157231610933,0.09126799167119626,0.05170745462563053,0.333327776339585,0.3948535868040802,0.5666580420633947,0.5182802203105016,0.7909340800820613,0.9199105229074407,0.962575757738385,0.4775373638004573,3.1728590610712764,3.231180453886775,2.567350423175212,3.0724826547741113,4.572199208456548,12.043872592907375,10.370730085518534,10.370730085518534,13.543589146589813,13.443212740292648,12.043872592907375,0.0,0.0,0.0,0.0,0.0,0.0
0.0,202.80366558084663,202.80366558084663,33.800610930141104,0.5274986324915343,0.6585146746542321,0.723593836395813,0.23726718722186046,0.005291830942512399,0.025498453380890185,0.03565279022601631,0.5254672574000303,0.0755548562497147,0.9878041668445163,0.5172447542835588,2.0049369481091004,3.2052713065922074,2.696354059216354,2.9538278688765924,2.833060159072975,10.860390182794255,8.734685524881536,8.734685524881536,10.739622472990636,11.688513393758129,10.860390182794255,0.0,0.0,0.0,0.0,0.0,0.0
0.0,176.65335187157393,176.65335187157393,29.44222531192899,0.04443943934767902,0.3412002608007759,0.8430465541061096,0.5765944802416969,0.45358209165856844,0.13000511893968858,0.8249777762113915,0.9912364599077127,0.2849446162924081,0.184017853957946,0.5066578144252311,3.8242540021850644,3.190043671482736,1.5298974601902002,1.7829149677130176,2.7698249716336885,10.327110101571018,7.489766103306625,7.489766103306625,11.31402010549169,9.272681071019642,10.327110101571018,0.0,0.0,0.0,0.0,0.0,0.0
