t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.0,218.88477656254008,218.88477656254008,27.36059707031751,0.5196580044365622,0.034668807378907096,0.6506111342754543,0.06656946367942418,0.06133860220728404,0.37572802515697956,0.2766351064627386,0.3669491977127589,0.8408169825905251,0.9031786638517875,0.6220115566187051,0.1599191497840784,0.7087606429210789,0.37545516980662297,0.937097129260896,0.5475594187022003,0.6907766873934041,1.9622568478347562,3.9562791735455214,1.8142810085994685,3.3918728977998955,5.71075445879611,2.500671333401905,2.559103583833297,4.3188831728161325,17.938940130265433,15.149218272196324,10.596092362652263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,28.91513977672332,231.32111821378655,28.91513977672332,0.35412705818139323,0.9339016646146009,0.7227998459953361,0.43534476423641133,0.9378302893875449,0.27247673034668274,0.32450807677600324,0.5642273014333115,0.9603672419662241,0.9189542277275343,0.3196678902587964,0.20832242900003728,0.5712217930561476,0.43277093972387803,0.3699788376399701,0.7609949619005455,0.4324731971530291,2.448929137720558,4.323017252654605,1.8325243267981324,3.89023525417082,4.863851586386101,2.384299249014962,4.090506133858459,3.872902337018994,19.510345687949034,16.50324929934515,10.538655050552647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,172.3196056348336,172.3196056348336,21.5399507043542,0.04501346001949469,0.8691253391274788,0.31908778556483164,0.5477452116698591,0.8325123465562493,0.22346738909017005,0.8986238497925296,0.4169709112116301,0.33029333160663643,0.10337740225869751,0.9980512462167889,0.2924975333266914,0.12294642550577783,0.4774932293622449,0.9612424484529781,0.16673676433825502,0.48258730441922104,2.1574083841219056,3.5872333002954484,1.0968355540378039,3.1410079469848906,4.392483997481395,1.334775829078771,3.8293008658393015,2.557858172001852,15.951812577544068,12.406003721253176,7.146877939240333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.1470517319285,257.176413855428,32.1470517319285,0.3910836122134346,0.9150749795695103,0.7566196431758417,0.8577063752643496,0.43201530220363726,0.8492253568715902,0.8026668756812657,0.8274142937433533,0.1909779303601835,0.3311947075357722,0.5319204463921786,0.9417171678892822,0.9236187041394867,0.4216742285503956,0.19147615707313892,0.7144955613999725,0.015836943324558983,2.144355813003178,4.305121728650974,2.5438114608470404,3.776232118306707,5.981295251899686,2.79805576755291,5.9466739851055195,3.2030462863478686,23.19042439671504,18.796709228504312,10.689269327750997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.683440650473663,245.4675252037893,30.683440650473663,0.26907191973540867,0.03140012985830176,0.6493877255392707,0.10086757789153777,0.9998744099226706,0.8880202884025064,0.44236911548031477,0.13829499980451876,0.1167963963644374,0.6628946271584855,0.08518553125647299,0.6145348003357254,0.22284628751297875,0.8143887295913428,0.5268183371802542,0.9644674450256632,0.5949275081022461,2.6359748567401353,3.721790971577254,2.9798384454880598,4.625320966170545,3.9668323032311035,2.8547821610703434,3.6927702685227333,3.4162852982369536,20.75551900122292,16.665467144895345,11.886880761535492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,169.20772169850125,169.20772169850125,21.150965212312656,0.2425580138033958,0.33357760907944767,0.7146426103899197,0.07984271473248372,0.5792479553526322,0.5176152027743298,0.32933591868857215,0.26457683516856767,0.47984418155066877,0.10087607444570879,0.40366838512711534,0.5406540180051801,0.6505396202573057,0.42173352379298423,0.8839394229332831,0.14877331789095316,0.4159724725070024,1.601407617699786,3.173682707150754,1.5808788190182028,3.0153207678185354,4.413607672754127,1.5894958421442489,2.588211896687274,2.9111432544689384,14.788922616122175,11.843412519469418,7.682925533331177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,29.51630473523631,236.1304378818905,29.51630473523631,0.15096287478390413,0.918436080346093,0.5934422198699097,0.8312809161988873,0.8185156156101259,0.2198980474157839,0.5166451137546002,0.8319806837388385,0.15339529794500373,0.5245392656019063,0.7279802485075015,0.5620058459338881,0.5148333847671573,0.5822791972332617,0.7656796653591176,0.9624280782066104,0.5083329658402549,2.290933177135318,4.567978698116719,1.88872235618484,3.6850435902230902,4.967920427807702,2.6736026499853915,4.987065150223259,3.228735032077816,20.4932873515596,17.346103886588025,10.081993215383365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,181.64145363032893,181.64145363032893,22.705181703791116,0.13614960889541772,0.5130811972701158,0.6397092238020863,0.49932808096797754,0.8311825459308676,0.5922824410371033,0.20553379556783657,0.22591931893387518,0.7579468983066538,0.43592864213302684,0.969930914411663,0.16582214605891632,0.8080794028076119,0.41277145956637384,0.38459162050888307,0.17064466820626167,0.01385898422406684,2.829324543512661,3.2872521763616662,1.6068046887954204,3.299637271266887,4.6821847886609875,1.1388550212967246,3.0506670815352255,2.9455899893813333,16.607473395067906,12.02916895737037,8.52057424298614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.776321895474034,294.21057516379227,36.776321895474034,0.9966158562306591,0.4479128758202999,0.8154106123146329,0.07821064057315275,0.5822170875330497,0.8771008301595123,0.22884193515536688,0.4125665306205297,0.12561756680697855,0.38380264622914984,0.9100468168920931,0.9424746828795804,0.5929537199244418,0.8547523233529382,0.7268480716391119,0.03963529341593186,0.9736999631710889,2.753167380813805,6.324715776890442,3.0581304826211806,4.493368505525548,6.196868656537424,3.299618473597722,4.225662464790529,4.377303825038879,24.026815963886207,21.285431022938752,13.488220162071586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,36.20462888381875,289.63703107055,36.20462888381875,0.9067257695449537,0.5138019769602348,0.5330721959270336,0.754633776559045,0.47867813890020205,0.7564998215651719,0.9425204812296785,0.7809092293794304,0.8381085831955041,0.3888074821211347,0.378705036466087,0.1816747736931995,0.998515368621664,0.8224088706205233,0.10189585021386183,0.9870570020721139,0.7989326818514929,2.0026904790525957,4.52412878718466,2.149390948000029,5.186362844909868,6.274362396030686,4.230124504413163,5.141256412128418,4.59535560664058,24.98418758453476,20.64025625836685,12.977561538106368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
