t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1.0,51.56153726879807,309.3692236127884,51.56153726879807,0.8000998569339782,0.06753358916414509,0.7275253979454132,0.412152900070073,0.11711218557358416,0.1782843468440578,0.7411211353953273,0.45717053362931914,0.6434136256204661,0.5639918286594076,0.8855016746109722,0.22254021684064862,0.9868534281284337,0.2385572693640695,3.585052741395906,5.993490954748216,5.473935776838191,15.052479472982313,15.052479472982313,11.467426731586407,15.052479472982313,5.993490954748216,5.993490954748216,0.0,0.0,0.0,0.0,0.0,0.0
0.0,236.5293706632462,236.5293706632462,39.4215617772077,0.34552045397895814,0.044855465412581896,0.06627329713019103,0.46243195073319177,0.2098288539861506,0.9404505438929317,0.3357379707052923,0.07108210535479187,0.0480947034520709,0.9838028212530903,0.92547691972761,0.988188358809927,0.4311493230887984,0.37141924648332925,3.395951105773292,3.883783936966982,4.835111508827286,12.11484655156756,12.11484655156756,8.718895445794267,12.11484655156756,3.883783936966982,3.883783936966982,0.0,0.0,0.0,0.0,0.0,0.0
1.0,58.215291001292655,349.29174600775593,58.215291001292655,0.6195633546570053,0.7598980525553931,0.7409021244215139,0.8403604076711879,0.4102748488918211,0.6558405680848547,0.5570996423574861,0.5587595106703743,0.4527327205586764,0.47633114920575925,0.6255699271187481,0.8662813502791185,0.6392379307710754,0.7432818910720718,4.883508462685478,6.310781817397007,6.332652976023001,17.526943256105486,17.526943256105486,12.643434793420008,17.526943256105486,6.310781817397007,6.310781817397007,0.0,0.0,0.0,0.0,0.0,0.0
0.0,238.88082766147411,238.88082766147411,39.81347127691235,0.0979267356311726,0.8661824915342441,0.20530885282757583,0.31776931834149247,0.5070935047732784,0.7354943478790755,0.3404658433813651,0.393540886478542,0.5731612072171235,0.14490215995553835,0.6744644760254818,0.08151718504603434,0.6915563518774287,0.4641387647375581,3.7869680913904054,3.8828043615994945,4.706593802222409,12.376366255212309,12.376366255212309,8.589398163821905,12.376366255212309,3.8828043615994945,3.8828043615994945,0.0,0.0,0.0,0.0,0.0,0.0
0.0,255.82465743724003,255.82465743724003,42.63744290620667,0.8947774701855192,0.06690636624080404,0.1275923434842131,0.41339056084993897,0.729433374934784,0.011148835202849039,0.7625681701084802,0.07863899069782854,0.7777978504398613,0.5777085074365209,0.6885759642113808,0.7586703510924248,0.02775057752084653,0.08521984356113776,3.231227993558212,5.2591956535252775,3.8773579564352088,12.367781603518697,12.367781603518697,9.136553609960487,12.367781603518697,5.2591956535252775,5.2591956535252775,0.0,0.0,0.0,0.0,0.0,0.0
1.0,59.78168849104298,358.69013094625785,59.78168849104298,0.9131107982169313,0.38670087106699935,0.605882059327446,0.7580364540192277,0.9236591893079513,0.8962953403182202,0.7200072649244125,0.9555420887875642,0.06060616819743181,0.7734002139490177,0.8346905324048691,0.5807437702433894,0.2510115764861799,0.9979825808954388,5.385847979160588,6.603289901915402,6.06487988570553,18.05401776678152,18.05401776678152,12.668169787620933,18.05401776678152,6.603289901915402,6.603289901915402,0.0,0.0,0.0,0.0,0.0,0.0
1.0,60.90284233002632,365.4170539801579,60.90284233002632,0.39834583264751267,0.6064532379481304,0.7747043650926976,0.8454835507360289,0.6188619018302122,0.8681816781048001,0.9571648433325138,0.8855505269323943,0.3714390378186364,0.8603809614231825,0.5168318838224395,0.35867671013118974,0.7704155145713896,0.005659757390930276,4.8359499701120665,6.497474166915015,6.969798759177373,18.303222896204453,18.303222896204453,13.467272926092388,18.303222896204453,6.497474166915015,6.497474166915015,0.0,0.0,0.0,0.0,0.0,0.0
1.0,51.33429402897881,308.0057641738729,51.33429402897881,0.6192121980911943,0.4895751824042791,0.7898479431479152,0.009189615754567781,0.48994652065873046,0.8383672028674121,0.8203055007003802,0.38510984567890916,0.3935719085286504,0.6861060169675487,0.0704585748062263,0.7377604165236427,0.7880394503611939,0.30730183293795743,4.7604026782568765,5.10344197425141,5.999142041986158,15.862986694494445,15.862986694494445,11.102584016237568,15.862986694494445,5.10344197425141,5.10344197425141,0.0,0.0,0.0,0.0,0.0,0.0
1.0,62.79818145055816,376.78908870334897,62.79818145055816,0.2830514125692293,0.27302113311167375,0.8503017542308924,0.691832826569518,0.5710457817799458,0.9036201324289046,0.9057612542832381,0.4832538241169697,0.5961960608923983,0.8601312093712612,0.5573206159912024,0.9652640078324706,0.6114137154772006,0.6504141281298218,5.686968904940949,6.515441253743066,7.0062837077362135,19.208693866420226,19.208693866420226,13.52172496147928,19.208693866420226,6.515441253743066,6.515441253743066,0.0,0.0,0.0,0.0,0.0,0.0
0.0,264.4000094712197,264.4000094712197,44.06666824520328,0.5908916286952398,0.9184614520653057,0.9164306138674275,0.6844264524691596,0.3816469862371157,0.5498957955010197,0.29723259491354403,0.22359542105978802,0.5193625607004693,0.7708842765477298,0.9220011899995897,0.04764511875723343,0.17642398218756816,0.7187668741087342,2.9145693334654723,4.759656548887135,5.341933005599675,13.016158887952283,13.016158887952283,10.10158955448681,13.016158887952283,4.759656548887135,4.759656548887135,0.0,0.0,0.0,0.0,0.0,0.0
