t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0.0,110.39099117917627,110.39099117917627,18.39849852986271,0.2618720028233895,0.6171655530600076,0.3619392686574895,0.2896969061189072,0.6298653475893218,0.07823260109906327,0.6500015384109619,0.014577714041887901,0.34721385183782005,0.31179374649030844,0.9638197143743933,0.5184301826189529,0.01688414626135526,3.2089944411539557,2.512066302627316,2.7717795760090196,5.721060743781272,8.492840319790291,8.492840319790291,5.283845878636336,5.283845878636336,0.0,0.0,0.0,0.0,0.0,0.0
0.0,124.94982461778962,124.94982461778962,20.8249707696316,0.9880941564866964,0.2221589304890741,0.1935241200547968,0.4272846290567769,0.9802434133106723,0.3368121865483782,0.0370571339803053,0.2180850179585918,0.3500218117720584,0.9437466495488349,0.012933059533218327,0.22828755324052374,0.5390981430449877,2.054789540621598,3.301991685421063,3.5944900071455104,5.356781226042662,8.951271233188173,8.951271233188173,6.8964816925665735,6.8964816925665735,0.0,0.0,0.0,0.0,0.0,0.0
0.0,150.3389685846564,150.3389685846564,25.056494764109402,0.12051162697997608,0.08473294480857774,0.4647781323489083,0.6625612728639999,0.613395735554919,0.632733476180426,0.17208991836719167,0.6536498828488103,0.05358136831512572,0.5321716547433661,0.12185377081295956,0.6035188107623172,0.9552432169388241,2.6918375767938136,4.259416708273,3.8358818823479344,6.951254285066813,10.787136167414747,10.787136167414747,8.095298590620935,8.095298590620935,0.0,0.0,0.0,0.0,0.0,0.0
1.0,31.317672033634384,187.9060322018063,31.317672033634384,0.15278776241653058,0.5759466257367641,0.7855614154430234,0.38699389478399737,0.3664130278619685,0.5149490734462204,0.6098256660607038,0.8712374629505618,0.483158312163669,0.5496788793490945,0.6920979340802275,0.9466403697929381,0.7521047886826394,4.471341878404372,4.897443555418759,4.600529632432004,9.368785433823131,13.969315066255135,13.969315066255135,9.497973187850764,9.497973187850764,0.0,0.0,0.0,0.0,0.0,0.0
0.0,123.74043257099783,123.74043257099783,20.623405428499638,0.3867854318441888,0.12737886821076916,0.6609905246895055,0.3649256234380588,0.00731266002189257,0.5512753979402577,0.3425905742760157,0.5204195520599996,0.0952026450927761,0.9106635335257802,0.4345147154919613,0.7838919861259902,0.24637923329494593,3.3614833916920897,2.69678596618469,3.402980044330662,6.05826935787678,9.461249402207443,9.461249402207443,6.099766010515352,6.099766010515352,0.0,0.0,0.0,0.0,0.0,0.0
0.0,132.72758030473705,132.72758030473705,22.12126338412284,0.21373814409103442,0.8153161408094092,0.25789670864220393,0.2349896314680916,0.32006816849791875,0.5130672922827769,0.13005338249616216,0.5879344147724912,0.994308865341343,0.4305584085122006,0.3763961404312486,0.013511698088997659,0.393625322821904,2.833144827131807,3.872821534082932,2.9565221986529235,6.705966361214739,9.662488559867663,9.662488559867663,6.829343732735856,6.829343732735856,0.0,0.0,0.0,0.0,0.0,0.0
0.0,93.92338579465815,93.92338579465815,15.653897632443025,0.56710140447462,0.3081134881271286,0.7888304759705299,0.18191133665157944,0.40222582473856017,0.09519838659634783,0.2500438630801003,0.23355256910656075,0.002853857262691495,0.33673458865915895,0.8452626217584888,0.3340836912843428,0.01083171841989794,2.944448943353547,1.568770872187109,2.911017176949669,4.513219815540656,7.424236992490325,7.424236992490325,4.479788049136777,4.479788049136777,0.0,0.0,0.0,0.0,0.0,0.0
1.0,30.59684028432358,183.5810417059415,30.59684028432358,0.02483112547021049,0.5924547953325161,0.827262677963416,0.18431082409847022,0.5622242230017949,0.8678522669820677,0.61447378732607,0.443787834043051,0.668871244009066,0.20445103187150682,0.9797126920528714,0.9031457345548346,0.9115169710076902,3.8464536426879015,5.13416389302949,4.405869481446361,8.980617535717393,13.386487017163754,13.386487017163754,9.54003337447585,9.54003337447585,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.524982843766335,159.149897062598,26.524982843766335,0.4696627759030658,0.06253782158189047,0.7272910744383531,0.7106748546151245,0.1234296957830695,0.46924248485350417,0.968632860817459,0.9479785662592498,0.9858377866979807,0.576583088062522,0.03251762966201943,0.4072457992651841,0.2966454018778929,4.026215895436618,4.003592410933896,3.918063072699441,8.029808306370514,11.947871379069955,11.947871379069955,7.921655483633337,7.921655483633337,0.0,0.0,0.0,0.0,0.0,0.0
1.0,29.899409882967785,179.3964592978067,29.899409882967785,0.5799753041261004,0.36764752562122427,0.10061427710376636,0.3471975814360918,0.7640560456052411,0.7285500246783445,0.6659270092762004,0.864715056075313,0.4712446948138098,0.5467095158236399,0.587685056521501,0.5960741559224463,0.9892428872079826,3.4804960218577365,5.128727971360453,4.348829970568527,8.60922399321819,12.958053963786718,12.958053963786718,9.47755794192898,9.47755794192898,0.0,0.0,0.0,0.0,0.0,0.0
1.0,27.71691905613964,166.30151433683784,27.71691905613964,0.382988952120194,0.8829221233861908,0.9438705262324748,0.033113998358451635,0.3249451910631679,0.44597581720718926,0.8284401893751384,0.5610773099083315,0.5329510370679345,0.012896850238211743,0.7966060943436221,0.5591517758817629,0.8889527937179926,4.058927091842421,4.229090046591021,4.134045694157763,8.288017138433442,12.422062832591205,12.422062832591205,8.363135740748785,8.363135740748785,0.0,0.0,0.0,0.0,0.0,0.0
