t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,694.3261597792274,694.3261597792274,86.79076997240342,0.5232707279253819,0.5673451708384891,0.25532214723552804,0.3313433349286474,0.9240850407677431,0.09756513044461335,0.4476583571426427,0.05200304828436386,0.4179917525121041,0.8256684717126995,0.42395888337647536,0.00043439362341124443,2.565988947725827,1.8967549311941485,3.942561418024356,2.9499276946921174,2.7875278777388113,1.6274410010612261,11.827640452412131,15.770201870436486,13.204212922710662,11.192833174683141,13.204212922710662,8.877712757720014,6.311723809994185,11.192833174683141,45.10239930752594,53.345304787516966,64.6183360402308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,116.66397379088703,933.3117903270962,116.66397379088703,0.17334086863573994,0.494370157095519,0.6153417631733858,0.8580612529683349,0.899111557771891,0.18216701196800134,0.15009322916634993,0.35716128963111216,0.177450185998422,0.9039309441442999,0.6988499917015357,0.4988103670100834,2.698347569209089,3.0469621466499928,5.109577061492784,3.9382362823790324,3.3308345016513274,2.7954140397522522,15.809794539641693,20.919371601134475,18.22102403192539,14.185721279003193,18.22102403192539,11.871558257262661,9.173210688053572,14.185721279003193,60.088098107832934,70.3355831044571,87.48233282781189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,130.41880031512588,1043.350402521007,130.41880031512588,0.11520305503905226,0.5502044026091351,0.32790949070458086,0.3739766726699366,0.30634641608878976,0.7387577678633289,0.8043843272478626,0.8556441775832265,0.9726665503740058,0.23448917464515484,0.9003110945900531,0.320178552830803,3.7452981231639657,3.099040807679864,6.1937252661571405,5.279996497121784,3.2395292741311152,2.756955128103127,18.120819830199856,24.314545096356998,20.569246973193028,16.277593471132086,20.569246973193028,12.84082333307807,9.095525209914106,16.277593471132086,67.80848360760305,78.80608058161334,97.47325579071016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,655.6861215086145,655.6861215086145,81.96076518857681,0.9625773191153638,0.32400671159356365,0.727962233154177,0.9946761530536304,0.15734880809373109,0.02832632686362946,0.14856303771290047,0.1336389315481754,0.9090316147630074,0.05546764598275411,0.6643005156144187,0.011338768530776089,2.298670174754578,1.3826217797840528,4.959889257932396,3.76384762080367,1.5908324805120078,2.1041531138783434,11.140125169732652,16.100014427665048,13.80134425291047,10.232013692983035,13.80134425291047,7.376277548928982,5.077607374174404,10.232013692983035,42.54976066455514,49.01792673673451,61.42871229164001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,799.9209453069956,799.9209453069956,99.99011816337445,0.2443290936645136,0.42021490772078796,0.48013428448947826,0.08903799501644838,0.5147805329826446,0.9517993152869388,0.016254186440698204,0.14385547649468755,0.4494785460342553,0.6195098367491058,0.04485735775394195,0.775249559890195,2.1294472379290132,3.2860340768647323,4.234720559541051,2.690197694499093,2.923088859871676,2.077131414184692,13.105899283349206,17.34061984289026,15.211172604961243,12.573290734206473,15.211172604961243,10.415701588850112,8.2862543509211,12.573290734206473,51.30606421136704,61.18915725107441,74.80349116724938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,907.4673405418853,907.4673405418853,113.43341756773566,0.49143191300985434,0.010862305152079754,0.21853995830387707,0.935241137043802,0.8111655373109902,0.285981562556474,0.03433852654092229,0.9884558507131784,0.004317359068283122,0.9668185526731022,0.13099821214636764,0.563897850929129,2.223332552451443,2.878903064965728,4.63088322813707,3.4090381436838944,3.345517455846763,3.4587307504274944,15.315521967375325,19.946405195512394,17.723072643060952,13.078636301401005,17.723072643060952,11.906483823691428,9.683151271239986,13.078636301401005,58.023714735528706,67.69331289324583,85.42993864982964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.00913671648173,960.0730937318539,120.00913671648173,0.35154132693146156,0.7118797165582728,0.6063385436670878,0.29984129812915006,0.16258769086719305,0.4549525740519954,0.574545543444996,0.6685805868093319,0.24942187314718844,0.8526886958944979,0.19048027055321703,0.5909132898278565,3.663454959521375,3.195252401781737,5.5511837190150555,3.2067483806701595,3.2360718531043404,2.6614457438080246,15.962973338885636,21.514157057900693,17.850702098379315,15.645962933422508,17.850702098379315,12.756224958215476,9.092769998694102,15.645962933422508,62.21586332890294,74.65507788165529,89.15933542597637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.2066099667775,961.65287973422,120.2066099667775,0.31609751615223314,0.6091683232674046,0.8358306875753334,0.12185036123213777,0.5413265981141745,0.8386949453090119,0.07857698342088026,0.582015846797711,0.4486609878526956,0.128388335669944,0.21545567397694598,0.880702389099189,2.682641164583969,4.287738790162824,5.055442050353486,3.6624120842788903,3.1902624808011186,2.1616179206516772,15.98467244047848,21.040114490831968,18.357473326247998,15.216084485901398,18.357473326247998,12.322260356199589,9.639619191615619,15.216084485901398,61.88049060882746,73.43416301044996,89.87758312669109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.3720985415523,962.9767883324184,120.3720985415523,0.5850920996707835,0.11653401938825958,0.5590455065697324,0.05966318090437339,0.9391899356920463,0.90285282615395,0.7755396314230366,0.737727120104661,0.11566400871250415,0.1952707378334142,0.7325656895472797,0.8149862758305961,2.499781024031608,4.070335683739246,5.594941096138591,4.822247899107584,2.9193720975614816,1.9233113233855488,16.235048027825467,21.829989123964058,19.33020809993245,15.084429901470926,19.33020809993245,11.412800128717885,8.913019104686276,15.084429901470926,62.06248615794673,72.32466816031007,90.30571336256546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,614.7813427385576,614.7813427385576,76.8476678423197,0.14365983090739598,0.3273435257420435,0.18115350346586712,0.7773873755026246,0.22981738227452841,0.41506749214811534,0.29833614726862534,0.4220495183804246,0.4330895279014777,0.06314329968262922,0.028833460196887817,0.40961653204955917,1.7251155224410675,1.9850479540605384,3.49968021324565,2.7857344071385506,1.8850597860306628,2.1052862535167156,10.486243923187534,13.985924136433184,12.260808613992118,9.094903475777919,12.260808613992118,7.700509516048984,5.975393993607916,9.094903475777919,39.542465529006556,45.85163459764592,57.77866813660659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,145.5531683886863,1164.4253471094903,145.5531683886863,0.0846957007246768,0.8222877613377017,0.4387241998453061,0.3214897293448916,0.907320593161749,0.655657700554188,0.1311283963868476,0.593976886671075,0.8598537712736061,0.9053483852657044,0.2036356801403717,0.5811057724798084,3.7513194007802406,3.9990729140498282,5.597903984024177,4.111786957378035,4.669893170189644,3.2617745450350855,19.793846987432833,25.39175097145701,21.64043157067677,18.01818946904389,21.64043157067677,15.6820600300548,11.930740629274556,18.01818946904389,75.13452805720829,89.04093056887415,108.70570025715962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
