t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1.0,294.19007579891326,2647.7106821902194,294.19007579891326,0.8638422315870224,0.675739120667789,0.6886730083597019,0.5047076075666884,0.5373245631520881,0.8206617750755331,0.9300187356016416,0.8206876722457529,0.5009238316049193,0.24978606095241151,0.24510778421378976,0.10514682651315743,4.836979922227532,6.078776985953473,5.196406363674543,4.2663876280729,5.087075300318654,5.433258536935041,4.799536798118977,6.012600481938854,25.93259886627856,21.545421808790593,20.55372012315577,27.211839054113057,35.6322450312865,61.56484389756506,83.11026570635565,83.11026570635565,56.18596515444227,57.177666840077094,62.84408408539956,83.11026570635565,83.11026570635565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2337.6108378385816,2337.6108378385816,259.73453753762016,0.22366250065493698,0.49108462028502253,0.17230626166178953,0.705616426564371,0.8802973650690141,0.3095033493813586,0.15221105556957626,0.9531666435233035,0.8446947058045448,0.17650212041209656,0.3417000363038357,0.5399202055701735,3.968865265724873,5.567002790145087,4.169911906579601,4.017700851010024,4.970867494533328,4.66519238561493,4.26707224987641,5.638454235230447,23.01517115194466,18.37097234806449,17.77483705245273,24.31510169221334,31.698064388569616,54.713235540514276,73.08420788857877,73.08420788857877,49.472901441022344,50.069036736634104,56.01316608078295,73.08420788857877,73.08420788857877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1964.186859671018,1964.186859671018,218.2429844078909,0.47118244271402465,0.027606924814818634,0.34414415557227485,0.4815354727010178,0.16470327977407118,0.9760800268376529,0.6475603688606075,0.5996504819138094,0.10185252109391374,0.2521672657635661,0.013995108834346515,0.9296906883464637,2.5810999323421204,4.538986294512542,4.1307440647343725,3.4831836958737656,4.082834177787575,4.066374099740482,4.170298163777069,4.36260836836596,19.327584707007098,15.317204391329517,14.86105227460455,19.69627283774257,26.877142502621346,46.204727209628444,61.52193160095796,61.52193160095796,41.7381947772259,42.194346893950865,46.573415340363916,61.52193160095796,61.52193160095796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,311.1483593434695,2800.3352340912256,311.1483593434695,0.8178081126810937,0.4524335478501055,0.2634561128487657,0.8338080535242887,0.5764489224365248,0.8277038763381768,0.4546404718608804,0.6536997841434125,0.6443804977676034,0.40844131469197464,0.6484752625505745,0.20996921991315454,5.064514385997132,5.97345706392546,5.276690529921062,4.822050058060182,5.475749842203594,5.874109279614376,5.307742234459044,6.336624704745674,27.461321697326508,22.188771259458033,21.691064037736165,28.127036526792924,38.15748103500107,65.61880273232758,87.8075739917856,87.8075739917856,59.84854507273724,60.346252294459106,66.28451756179399,87.8075739917856,87.8075739917856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,262.80920685747753,2365.2828617172977,262.80920685747753,0.1400226795409878,0.11779395757060096,0.025022990015197588,0.524261964654401,0.9375923977973143,0.5014581259663625,0.6458986420383485,0.9925770490736657,0.604367648498494,0.5904917821735173,0.7911483695210151,0.30432445863742175,3.641668133564373,6.034937385946339,4.474097276669543,3.8281986346311943,4.82077568370486,5.157360026398464,4.473675068081063,5.5290614234489786,22.939277585468815,19.30806282257872,18.09390112033724,24.500539903334094,31.92483624649848,54.864113831967295,74.172176654546,74.172176654546,50.01873736683572,51.2328990690772,56.42537614983257,74.172176654546,74.172176654546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,394.926623103436,3554.339607930924,394.926623103436,0.2674342606273774,0.5186584108947732,0.9175703869133089,0.588400678778954,0.8959075237705241,0.7913937998661171,0.7702637888646814,0.9782900712900436,0.8498287902191453,0.7821331340126468,0.8181569527305225,0.932903862713376,5.647350803800722,8.843507400054094,6.8318600444840065,6.061596255619325,7.039886326909368,7.215081202478118,6.926111937151492,8.34067787181679,34.78588698416238,28.53779945081694,26.734178377672215,36.70328244706498,48.06256444225983,82.8484514264222,111.38625087723915,111.38625087723915,74.79674281993204,76.60036389307677,84.7658468893248,111.38625087723915,111.38625087723915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,272.7447874371563,2454.7030869344067,272.7447874371563,0.07618377673881016,0.5533288452270213,0.7992978712351366,0.9790058225107929,0.3828844090643616,0.950369144750131,0.8917354670280032,0.8789201729734499,0.011985271629079142,0.6006790392998361,0.4919331523841265,0.027288246215482426,4.24498829353946,6.56742744231742,4.610683161555924,3.7189476945279214,4.59786786750137,4.965393174847644,4.815662497736844,5.751875752028227,24.021077572361826,20.388492072260448,18.4189324974444,25.7728425169424,32.70541844173739,56.72649601409922,77.11498808635966,77.11498808635966,51.124350939181795,53.09391051399784,58.4782609586798,77.11498808635966,77.11498808635966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2257.813775173691,2257.813775173691,250.86819724152122,0.402260597166451,0.6913344048530231,0.7338877621992901,0.6113176395270928,0.18883813767271984,0.42974115483798625,0.27750638884823997,0.41423400368821994,0.793143321168881,0.052772297553077,0.7440584533480573,0.00866375881175152,4.594581470773502,4.94549732250834,4.18941721358047,3.91191082473223,4.32614482842045,4.19963615378728,4.190078988300807,5.070251530826551,22.37047403190178,17.929132160649594,17.309779666561703,23.125892366109312,30.482021010421292,52.85249504232307,70.78162720297266,70.78162720297266,47.791800676982994,48.411153171070886,53.607913376530604,70.78162720297266,70.78162720297266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2235.5211544901613,2235.5211544901613,248.3912393877957,0.1712242157164473,0.1877259742104762,0.11081939047824207,0.9794849619690916,0.22733659446224552,0.0833158672212021,0.3947853663586217,0.6501856591999425,0.9678666985019145,0.032365241583244275,0.5792343044155999,0.9445784797669815,3.3070080069752192,5.157698538167562,4.458645878890346,4.063860512531725,4.714046171731667,4.567917704205825,4.519074818852666,4.9341373875253876,21.932912263975282,17.491270128238952,17.047617761803057,22.571535983290183,30.564690480712834,52.497602744688116,69.98887287292706,69.98887287292706,47.612308242515894,48.055960608951786,53.136226464003016,69.98887287292706,69.98887287292706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1646.544199041511,1646.544199041511,182.94935544905678,0.11158040466750851,0.411211700450989,0.2057821509366753,0.6744202428528254,0.12926183229768473,0.6128289981121409,0.17258326086790743,0.2733430206763714,0.49069497755528446,0.9228524334438244,0.16553960633948028,0.12433028659442402,2.801319913212588,4.182848510127607,2.6870217602239306,2.5144384993560234,2.7877815200323948,3.815303743182069,3.5813721211785348,4.121845653927208,15.979340968574656,13.486493926746194,12.091426936650983,16.580817357523728,22.30908321111275,38.288424179687404,51.7749181064336,51.7749181064336,34.40051014776373,35.79557713785894,38.88990056863648,51.7749181064336,51.7749181064336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
