t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.0,122.53784698610811,1102.840622874973,122.53784698610811,0.5798948229454912,0.9959401783769274,0.016275361797648324,0.7062631188922431,0.7549103981075108,0.527060390819784,0.39257428829348184,0.518422809461957,0.7349894766606311,0.32411777966003574,0.5340956828964442,0.9962846118961687,0.6506748623383898,1.8695033923126074,4.478800172844066,1.642173159803157,3.502436482394776,4.067928475843471,4.2374259590554075,4.309409254571489,3.9646254113945005,14.153527219885195,18.462936474456683,16.579389100864866,19.525467094592578,18.390953178940602,5.606798571197658,15.04666692174851,74.32811846099698,89.37478538274549,39.285792885675434,61.98615531918752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,142.98757153922136,1286.8881438529922,142.98757153922136,0.10911568634669111,0.8576879666156227,0.9018083609859182,0.9230039866591283,0.2982328037659725,0.7865920259661374,0.35589670447216337,0.6624984063677068,0.12407901945179389,0.5669697401616021,0.7235879912266511,0.8578026117946526,0.8151103885110575,1.9716552574662887,4.657792767304706,2.9673010780833473,3.9741439398242315,5.100683488014513,4.0982229592760255,4.65797416588846,4.108358560392233,16.834135893794798,21.492110059683256,17.965239173571234,22.77993509108532,20.932358853070824,7.07565963847558,18.122142323780615,86.14707985661019,104.26922218039081,46.68973062335569,72.28006364231499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,801.9874403921202,801.9874403921202,89.10971559912447,0.12452212360972048,0.41062528185859093,0.33757830607547623,0.29202559198179145,0.9716175931033596,0.4003433653558087,0.4053041151070873,0.3377056871124572,0.5091955487624992,0.26509128968526796,0.1435637903128021,0.8280461389644695,0.15779562363605382,1.7714237099010135,2.977941301926304,1.4352513785201637,2.6123172073026946,2.733837042849072,3.1215127560651936,1.731329388196684,3.2967995559543617,10.4438292792499,12.175158667446585,10.88347874306531,14.82757019645361,13.565342035315094,4.732050934474525,11.849628894527306,53.06208782068994,64.91171671521724,30.003450410178036,45.300121833689815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,145.70789243741788,1311.371031936761,145.70789243741788,0.26516972577811093,0.08765480022986716,0.7597637700011692,0.8065935664290257,0.31767296129880007,0.8418845699290082,0.6837921076761572,0.7470332903663516,0.7108545996856376,0.5771740668326344,0.7195760990302679,0.49817254721060644,0.47800263989551417,2.0896397474444317,5.190955706177327,3.0920340140353604,4.299601520579882,5.057275173324323,5.01045612026552,3.6812041885617717,4.078197968760222,17.418462862297233,21.099667050859004,17.827133450911838,23.807704130321547,22.42891898256275,7.170231982795582,18.61674842414422,87.32319947718521,105.93994790132943,48.396398975414364,74.50652214653888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,851.8475352669703,851.8475352669703,94.64972614077448,0.13861250403875147,0.14566027370394508,0.04393507201487645,0.451196385313408,0.4844918095075086,0.34192013487310646,0.9425606651861306,0.5781933937946787,0.6122880320056315,0.08002710812288816,0.2662178700636493,0.4599880346993883,0.3912600407029949,1.2452327793558151,3.4929919571165144,1.7796122573875215,2.905207699919003,2.9607310332337713,3.5174957319246345,2.0511675757403154,3.098977864554742,11.33231311229255,13.383480688032865,11.628372205453463,15.482753591567368,14.849808844217185,4.878590121942263,11.989761634450852,56.7055097192885,68.69527135373936,31.693656825802183,48.59463324575968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,145.9041714967678,1313.13754347091,145.9041714967678,0.011363063182144306,0.20416491254217706,0.3471400741082924,0.9875072495021325,0.6133674322943155,0.14075042513925773,0.7508788883859863,0.8835787252114089,0.9776793662594897,0.7357631406506349,0.5807697532201964,0.8874416245998191,0.9557553027530097,1.855449294796161,5.42635874446947,2.226276637135669,4.174605185904476,5.184442518860615,5.152284552163966,4.358902147061704,4.481277057284099,17.318354957749854,21.677257104811556,19.17690627537038,23.34840943845049,22.47063950991382,6.707553694419768,17.92205069398102,88.22848147080205,106.15053216478307,47.37431809062011,74.20385974759564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1023.8255611246786,1023.8255611246786,113.75839568051985,0.026093326964349073,0.5348344679206728,0.7963456253730467,0.405259157779542,0.3441159606848798,0.9685773989649412,0.6676174630792423,0.22504195175514896,0.1546943265827062,0.9725502830493389,0.21834360991262147,0.8626983356170023,0.9507013507021266,1.3915968647774246,3.3560937970636586,2.8377996451967724,2.68281709554883,4.173949753530292,2.837511422131537,3.3328241480838,3.327171821253211,13.695015017043934,17.027839165127734,13.67145714499884,17.76942897737019,16.53252643917547,6.164971466449984,14.41333518030653,68.32871177099068,82.74204695129721,37.62941546086411,57.49476604812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,128.64474287149872,1157.8026858434885,128.64474287149872,0.9073738104007107,0.059596874913409814,0.28900064603855835,0.17144989372982933,0.6063432477273359,0.3803807011528322,0.8566722324166728,0.9498506863792657,0.18539129115748199,0.35210028991280273,0.7110438198098292,0.1685999335515429,0.9428204332882306,2.7525683905458704,4.239382313483891,1.6975034733378926,4.491734336502201,4.406091312239212,4.6771256276596835,4.094235808434078,3.9492904502439155,14.29226754930491,18.386503357738988,17.12674319857689,21.536570276352982,18.969393176964594,5.646793923581808,17.297187962869092,76.98887830555557,94.28606626842466,41.4756317492397,64.53926073463838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,985.7575330431079,985.7575330431079,109.52861478256754,0.7552912949178993,0.06611707830666969,0.37451940362484526,0.2312881817433543,0.07963742945607422,0.23784242387179622,0.8514420173580023,0.3994187248198071,0.4682690324041614,0.3012634498442003,0.8617931953365967,0.3297526785670518,0.08829431139001098,1.6088668528186258,4.271774528771718,1.695092026597998,3.553390247256579,4.104768946211757,4.02165927966074,2.703466236358538,3.0213497304870343,13.092985232068507,15.796451468427044,13.85124419271807,18.255242332143713,17.114644511729246,4.7164417570850325,13.983467803371994,65.71236498244237,79.69583278581436,36.06466932129725,55.882780069385035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,727.845990911703,727.845990911703,80.87177676796699,0.3416870363945511,0.7756065313910154,0.048832936435431185,0.06261716622989733,0.6460292750076246,0.08765644811921636,0.28453670849653834,0.6871712184385026,0.9305429898918127,0.26016226805872844,0.39747992224776685,0.5458049992729955,0.5771125539386349,1.7237204662761094,3.298672977407495,0.4836432592810832,2.468354263250312,2.628292255574411,3.398897253142125,3.1018366966990967,2.6166793402755406,9.02728783253853,12.129124529237627,11.745705545691173,13.219362562064951,12.426185085680656,3.1003225995566237,9.920689584657456,49.22180306908891,59.14249265374636,25.346972994160105,40.874994776539864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
