t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1.0,91.8597051245857,1010.4567563704427,91.8597051245857,0.8521793380033365,0.7454999526304935,0.8833372991403002,0.12292103957839706,0.06865730756262889,0.4453164291182038,0.39112874307092727,0.051978064744850117,0.7838268357466458,0.49264033276462615,0.10818136776918164,0.8493645629062697,0.6621486376154129,0.47494566063370647,0.38705527627845815,0.6228209101446737,0.49553624863506374,0.33729119957251374,5.956487814455672,5.580524269562795,4.080391606785364,4.097267182338957,4.5588816140175865,5.700268497707637,5.500762213537394,4.54272057865899,20.279868497607662,24.38302451070697,19.634908817117385,25.780630711145054,26.818434402048865,20.279868497607662,19.634908817117385,20.279868497607662,24.38302451070697,46.06049920875272,47.09830289965653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,704.0270406016946,704.0270406016946,64.00245823651768,0.3460412165717116,0.050650286699125635,0.014372747147820553,0.5112606291597842,0.07048534735595713,0.41016391902108396,0.5603601763365594,0.6332135353998553,0.07955436747964417,0.4692329441738934,0.9312042040092078,0.20304466399363708,0.4789064865236038,0.04652947564192211,0.6957825736204015,0.11265873155329664,0.4568820633434514,0.7974335472194519,4.628884010475448,3.8215795067642073,2.655208640185783,2.586951553824828,3.181891015707804,3.932904022712968,2.524428431243127,3.7355465294416716,14.952543202815871,16.029978639291354,12.395472635729186,17.476971634058998,17.563004611381533,14.952543202815871,12.395472635729186,14.952543202815871,16.029978639291354,32.42951483687487,32.515547814197404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,902.2530546238322,902.2530546238322,82.02300496580293,0.037540865741400586,0.27090172175962546,0.6624102570787258,0.6718205529550585,0.592670436107689,0.9629116712942086,0.6024895681545206,0.9633126114605135,0.46808739207962147,0.9240327844256753,0.3190563694764815,0.4855685658745318,0.045317912372193625,0.504112431527685,0.6727015221386851,0.28824827633811656,0.847981132246505,0.32409785086616605,6.33309489219719,6.1029114472506,3.4207080660298015,3.0193821880116922,4.003810783537615,4.875592903924599,3.444299240786918,4.421304642659204,19.050700504810795,20.16571563693814,16.2174843870256,22.494999745597713,24.17660655018911,19.050700504810795,16.2174843870256,19.050700504810795,20.16571563693814,41.54570025040851,43.227307054999905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,119.7583708871136,1317.3420797582496,119.7583708871136,0.9611214756578386,0.6321246488036955,0.8859696574928395,0.4161930169540131,0.5107259468318434,0.18956644191878813,0.586903071815439,0.8673613304364537,0.42368761378031594,0.5421431354363029,0.8521252318377689,0.8803839823504152,0.6058249788690303,0.7964794906088695,0.9533879541432873,0.770255806010176,0.8718687194359115,0.23939997792753664,7.954685824340735,7.751745798011517,5.284984796462304,5.434179525004764,5.781499951514059,7.101439665228495,6.439458967177641,6.553379030590057,26.89448931662159,31.16076241097256,25.113309112985448,33.33394828379923,34.53231505122069,26.89448931662159,25.113309112985448,26.89448931662159,31.16076241097256,60.22843760042082,61.42680436784228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,96.05075471047142,1056.5583018151856,96.05075471047142,0.6757779233245332,0.9165322654694031,0.3664262076784124,0.34910888215024816,0.9638943716803239,0.27587029669321017,0.9390047645067403,0.09767277925197682,0.6176273735848797,0.5400113728117304,0.5716789908034487,0.03512916533484567,0.8904123996478538,0.7698046680555191,0.2575437423351773,0.8466716182271703,0.32202198374153257,0.19307611387171175,5.474826669425495,5.876031506592371,4.243394794751644,4.673660224882433,5.347054055163736,6.1619649049650285,5.358608038129631,5.267169483698542,21.14735585284071,26.37819127670858,19.750489727189205,26.50596389097034,27.11482591386417,21.14735585284071,19.750489727189205,21.14735585284071,26.37819127670858,47.65331974381105,48.262181766704884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,851.7352337313616,851.7352337313616,77.43047579376015,0.39503659546080905,0.7509544172010679,0.13994691176960028,0.7423385740424919,0.12484070603258512,0.07588329974279773,0.7291582647699869,0.30472977149007996,0.8527129150992666,0.17947794209659906,0.5563895341025842,0.5144158423540993,0.11173526350381902,0.1552355937427009,0.5588680075833828,0.43061443816832434,0.667482767079788,0.3396508315685094,5.398180423004238,4.510957641462937,2.7983575192518697,3.3688964565288795,3.524085862943152,4.223997786855284,4.511911647155962,5.011683625519817,17.432219354631208,20.070036441726085,16.07734604594095,21.94413100178717,21.443405017730292,17.432219354631208,16.07734604594095,17.432219354631208,20.070036441726085,39.37635035641838,38.8756243723615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,890.9898805593355,890.9898805593355,80.99908005084868,0.6223609446582108,0.5554054865662597,0.5434286197072531,0.6227502318083407,0.03523116861995079,0.5687563456426923,0.9097321680450096,0.6345788341433751,0.11293617691881885,0.2933867188135607,0.7427933603374876,0.4719599151484125,0.1373403665306696,0.249363190891418,0.517053071648322,0.03821925294740802,0.8854925651564178,0.9455780219832104,6.106559674576524,4.5375527107827,3.209348618894066,3.2184420315049174,4.14836298818223,4.810031308834697,3.3273886371178607,4.781813393131475,18.907752995436763,20.276944946160327,15.86173896209337,22.235141632554623,21.990880950205845,18.907752995436763,15.86173896209337,18.907752995436763,20.276944946160327,41.14289462799138,40.89863394564261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,899.1635447743794,899.1635447743794,81.74214043403448,0.35030747664652107,0.4034691349278392,0.3322139435848289,0.7506387002447811,0.38426387841761966,0.4473529986298561,0.6000897137007907,0.17609179858879298,0.38700343781830615,0.7900058037160163,0.6977952327232141,0.3098578138011576,0.5148838043591298,0.541867420133133,0.32895787447023084,0.41739818515057037,0.7472533720266439,0.5106796744021326,5.663722587915863,5.4020634935332685,3.174955304166793,3.5991731190926544,4.278654918940313,5.3086632941082845,4.004383847551669,4.387505332720935,18.534846518911873,21.154162697487994,16.442234858726977,22.539230366463542,23.553788527275877,18.534846518911873,16.442234858726977,18.534846518911873,21.154162697487994,41.07407688537542,42.08863504618775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,95.43941982818775,1049.8336181100653,95.43941982818775,0.658089804656408,0.07127194439296325,0.6655805628045,0.10847988039970713,0.3796294342101142,0.1226372866829738,0.7812943062728102,0.24398204610663565,0.5342189275483085,0.1845609657679378,0.9160492822345571,0.6166953247759583,0.9265487310146614,0.5642964536145212,0.7027847776081715,0.29121702185475307,0.8126278614066471,0.5104830887611489,6.318493252943247,5.782807140360351,4.433943810687756,4.47067933765577,5.89479611123658,6.332493216760051,4.473602865865453,4.330116754940555,21.41504703533161,25.464952759490394,19.696719267152226,25.888649901197063,27.341340286616855,21.41504703533161,19.696719267152226,21.41504703533161,25.464952759490394,47.303696936528674,48.756387321948466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,878.6601365534099,878.6601365534099,79.87819423212817,0.25673567910066664,0.08408060366074621,0.7886782752574467,0.9505926342086054,0.9736016926820461,0.5282310457772954,0.18931765659896527,0.8128141404093605,0.45649524779207373,0.1766058422318304,0.05142729816346714,0.44701926023140803,0.37341807103069646,0.9615693936906122,0.300099088208194,0.02219049200758494,0.12565156491528862,0.14525098155699356,5.0459732599010705,4.2996266048004665,4.426904466493857,3.314290045224853,4.38677787700371,4.341590726948133,3.8522004699305876,4.200208029812953,18.014676483156013,21.20768157018924,16.63936824155037,21.8668769530866,21.966295528074113,18.014676483156013,16.63936824155037,18.014676483156013,21.20768157018924,39.88155343624261,39.98097201123012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
