t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1.0,130.27315127999708,1302.731512799971,130.27315127999708,0.9432270005145053,0.5146941341031257,0.29505856557383403,0.24404645931022473,0.6199749356890796,0.9564002735297216,0.744228546044591,0.45741871430874403,0.5971563224967911,0.22004532095929474,0.7073613478189129,0.10020144919713181,0.339092665636579,0.6412251857775401,0.6402121418709489,0.9742451298567665,0.5723825079240809,0.8805758761385791,0.9501365604779771,0.4232723183665098,5.573106169172233,5.523485581916404,6.734558200140111,4.782503241887471,4.736037117766136,4.795973005080268,6.3453719138112525,4.795973005080268,22.237936669980158,15.877382036657657,32.917929060601644,26.183370860461533,102.01259163278127,69.09466257217962,59.10129992106317,102.01259163278127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,753.6606845613842,753.6606845613842,75.36606845613842,0.960428920628393,0.009059641391895079,0.028976142650414705,0.24302297056112065,0.6523116024264265,0.24403711754232826,0.2743395894246533,0.44583486435793396,0.8863884514720686,0.6177231097985681,0.2009789893304308,0.6691611577355919,0.059546411153503676,0.1273940939684406,0.6509532762498222,0.3694743069057298,0.01981913978389782,0.22057182714240642,0.15603106347400875,0.10926530532892287,2.016769558692616,2.7344706081345658,4.273654639222115,3.249904719775854,2.97796039228587,3.279148889875394,3.1524033128389943,3.279148889875394,11.18279236954157,9.409512595000258,19.667542562132795,15.393887922910679,58.9328843394607,39.265341777327905,35.06143048504347,58.9328843394607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,134.8393710991692,1348.393710991692,134.8393710991692,0.8047660350106705,0.9423299076750506,0.15073255327729185,0.8554835385805645,0.9550035027198227,0.5295362768593183,0.4496052431337584,0.4736428022092004,0.9475301630435936,0.9942206594198484,0.06633772949930894,0.2892951897350966,0.09668112888926561,0.4479586448485353,0.8209603625853872,0.8822396122567959,0.992385639011226,0.8316630852912539,0.22753159332095751,0.5339413103632302,4.4735399477290745,5.356123684992778,7.824842201061448,4.482259906666025,5.057308178616947,5.273506225150637,6.685132987844955,5.273506225150637,21.788302845717446,17.01594739161254,34.67917318433279,26.854330983271343,105.61126063008474,70.93208744575196,61.533504167604136,105.61126063008474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,114.02737712587518,1140.2737712587518,114.02737712587518,0.91778550543015,0.7510091606636439,0.5960326730311825,0.8054451942189811,0.4682671327917364,0.1805668060533573,0.1128763435551352,0.35877439994922034,0.2809350417047024,0.7629523483754527,0.9162507057907325,0.10121131907234593,0.9915520553361172,0.31886467250302564,0.7866727453889966,0.6925848107567486,0.01310885839730469,0.512071990855847,0.6032771522023619,0.6048902524454272,5.674388807765702,4.328897808954119,5.287312179514134,4.18817274010374,4.326455766556561,4.401341108932373,5.492859576753037,4.401341108932373,19.89748730240523,14.220656452241972,28.025039180813966,22.737727001299827,89.28225104569337,61.25721186487941,50.76276618211379,89.28225104569337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1062.1482606928748,1062.1482606928748,106.21482606928748,0.9581268174524412,0.4799118205487116,0.4498956920319045,0.4414747441807664,0.08207292498519825,0.5448979756450618,0.4321055442823629,0.016513766706091837,0.07487738152289214,0.9670996187044236,0.7015380125341932,0.43483532328057284,0.5367883441091025,0.0690839492760168,0.9174683405080273,0.3447561463648786,0.7795798551879801,0.20064471961773955,0.3084290321142812,0.643632391469312,4.445561166504425,3.8747396063264543,5.835254638409617,3.7319353112708185,4.828159863942544,3.862883906612173,4.996447570294331,3.862883906612173,17.17963224973738,13.687491340849048,27.12942089685594,21.294166258446317,83.15359465250086,56.02417375564492,48.42358715530226,83.15359465250086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,910.2063524338911,910.2063524338911,91.02063524338911,0.8491253063698958,0.19064237557528285,0.5838894956635499,0.03364429595468066,0.003969081980210287,0.9148482947777274,0.4802326783448403,0.32722445583804616,0.2821715685276087,0.2970655446179955,0.36712318001306143,0.4862615242556527,0.20854742028354722,0.03506435858910706,0.13015118547780546,0.8500726095716249,0.2366948714268321,0.6503303369077822,0.2615300100704513,0.2917442296164744,3.2259492752789076,3.7944477344267638,4.493217936657825,3.8897764656576745,3.8272115364592034,3.9181967457716813,3.3002330444973333,3.9181967457716813,14.238826799974685,11.04564132672822,23.22308346347048,18.729865526812656,71.15561386275772,47.932530399287245,41.95294899028313,71.15561386275772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,857.488336347409,857.488336347409,85.7488336347409,0.37979460351312977,0.7226576015389483,0.10916929199644387,0.4775123757702766,0.42855233730289266,0.7864458911828336,0.08043959838060777,0.9131377940601365,0.4706274938355304,0.21560760413093571,0.3855221926357827,0.571437726629766,0.061544195403971824,0.44306314039109873,0.431124977414337,0.5953508253346833,0.1781886241317444,0.4477033193991793,0.7094231097622683,0.2981691317708257,3.1919208530038956,3.4576493332255405,4.019676920146117,3.167351827929388,2.4869481039768773,3.5785799733563772,4.459144227235241,3.5785799733563772,14.687294386821053,10.524672304568496,21.169350385869542,17.149673465723424,67.10957051633889,45.94022013046935,38.319023851592966,67.10957051633889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,752.9082471088552,752.9082471088552,75.29082471088552,0.11996885967598536,0.3086008812947165,0.2953390402992907,0.6462295813620135,0.3832442508031819,0.7661063458347994,0.35484360433887174,0.2901779257333261,0.9825793178578541,0.23717782305432344,0.12124787963854522,0.272698681566269,0.8721858815279007,0.15659355551326515,0.8197178660054705,0.5517772261557908,0.4699204493165817,0.30144856049520774,0.1758702815171428,0.20031888539113774,3.158804089345933,2.855614086716322,5.149925003753664,2.7567268251667407,3.080176455787696,2.5937816912872522,3.5887491633739836,2.5937816912872522,12.196949030723491,9.262707310448931,20.024973226085656,14.875048222331994,58.95345948087733,38.928486254791665,34.90002144841765,58.95345948087733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,114.16752420493196,1141.6752420493196,114.16752420493196,0.023311565021022496,0.4940076777154788,0.3451690240707367,0.8862171335099568,0.3754790156698967,0.6439247086143454,0.8522859928395257,0.360751113779625,0.058868334996616145,0.3669612269692425,0.22141726037229104,0.7695259969233981,0.8891233925551427,0.4888978391645691,0.821212762590909,0.19606339158875152,0.615881827255652,0.929070156350631,0.7202830432991095,0.9621725612817836,5.119371241599111,4.084998440717455,6.031800571383206,3.6936560082897,5.280227021149919,4.006839371757283,5.69305332859966,4.006839371757283,18.904262382673508,14.980119721506863,28.790574741897224,22.758774170514016,89.4405703883489,60.64999564645167,51.54934891241124,89.4405703883489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,112.03233939962851,1120.3233939962852,112.03233939962851,0.13398367441363468,0.8060689039907813,0.9563981506242318,0.032192323138448775,0.8926095919280442,0.9370333895036844,0.3176091695093086,0.8987878495641752,0.20297792720806662,0.1422581396557583,0.8714209601432779,0.11949122240557297,0.8771241976482035,0.4335176325190896,0.800222764186438,0.22177040369339784,0.1336806359287147,0.9406881708054352,0.308279006646197,0.10906725202108447,4.687284751867233,3.550133187196393,5.030561977492811,4.348638179100309,4.054750993509949,5.010826218516049,5.368172084199305,5.010826218516049,18.61641624177898,14.433749296225303,27.363082640014813,22.332520662522004,87.75659505905715,60.39351241904234,49.69560330253682,87.75659505905715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
