t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1.0,139.03915875662284,1251.3524288096055,139.03915875662284,0.7716224604574304,0.6508562417047089,0.4134006255830187,0.9087323364443795,0.3518386476272134,0.8899006004955422,0.7797683066727049,0.2918354377001281,0.9830874468627872,0.29028240441997955,0.32505659662945785,0.527642016103665,0.4324207038492648,0.45059833391019855,0.6614096876817529,0.7506407032715434,0.47863671917418904,0.5390124631868887,5.178381335310588,5.199056907403711,7.761419526158191,6.309950661886056,19.270427095447957,19.270427095447957,24.448808430758547,19.270427095447957,38.540854190895914,43.7192355262065,0.5598395488219806,62.98966262165446,38.540854190895914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,140.2551174173329,1262.2960567559962,140.2551174173329,0.5182979647163807,0.8864291944183265,0.01604152574847839,0.37646890616736206,0.835294754443236,0.21223039214346417,0.7454112201284373,0.28164782438714,0.6834733427338574,0.277996458613901,0.855545751613787,0.35203845134988665,0.4243288809119148,0.9661174715499157,0.7775167402781994,0.8635243927765077,0.28897093212640546,0.5130681921431813,4.664924945425485,5.942518506704411,6.460669435697342,7.1243890813938355,19.52757702379559,19.52757702379559,24.192501969221077,19.52757702379559,39.05515404759118,43.72007899301667,0.9674848447514254,63.24765601681226,39.05515404759118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1088.9800447346356,1088.9800447346356,120.99778274829285,0.43236340112725036,0.17182362950236874,0.8693239262009133,0.9964552969819706,0.3355531792054649,0.15758253458255,0.061976395623076885,0.8625324558988477,0.39049813472445927,0.4684335486092992,0.09195549236867318,0.3173759012923907,0.9183185560193502,0.5658147113171688,0.4642910646538686,0.5477000195799332,0.5399997512785146,0.8612922118411528,4.26629032412318,5.382009778251213,5.926135179507483,5.506185678553106,16.8143306363118,16.8143306363118,21.08062096043498,16.8143306363118,33.6286612726236,37.89495159674678,0.5963018969818458,54.70928223305859,33.6286612726236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,127.65135471278333,1148.86219241505,127.65135471278333,0.7839979660995445,0.33001330439218635,0.6501456636963009,0.8025275507231574,0.06119317048135542,0.7554080458382003,0.430528662426772,0.5896162053677819,0.8580569173602673,0.6175906015351631,0.5269390791489545,0.0016299523693404927,0.2659918640313994,0.7434247062383561,0.4891525742283498,0.7636203542291596,0.4395669172484319,0.2286867317684107,4.1054305416558385,4.79993189166696,7.529445572444456,5.465798714581435,17.795176178692852,17.795176178692852,21.90060672034869,17.795176178692852,35.590352357385704,39.695782899041546,0.9800696552673736,57.490959077734395,35.590352357385704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,969.742555378136,969.742555378136,107.74917281979289,0.34309671451957957,0.6080753561151867,0.5126953001758268,0.527649884933126,0.38068022091220677,0.5502355361089909,0.17457901456899083,0.4452938922181139,0.9473628963645275,0.20903735065854112,0.18346657523717547,0.4357644554335868,0.05717151834667644,0.9605597033026382,0.9927656278202869,0.1603797250676685,0.0584374286251691,0.506913773424965,4.510982415384809,3.8350885260752645,5.956254108261453,5.0662026101832405,14.857545244519958,14.857545244519958,19.368527659904768,14.857545244519958,29.715090489039916,34.226072904424726,0.04642360783852628,49.08361814894468,29.715090489039916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,951.2721322988314,951.2721322988314,105.69690358875904,0.2890071225829891,0.37454647667632646,0.3894690764230536,0.05836756204124027,0.6517682476480676,0.6610708977561265,0.36203060343843674,0.36531872185096137,0.19739709865232347,0.19560074668397365,0.6147179683317159,0.24683757785855387,0.1549690666448671,0.6235250824072442,0.19361024510379576,0.8622104425911287,0.7068981561550555,0.4984954877696146,4.0064816802216185,4.167895916941094,5.084787090858001,5.33563934858568,14.588322356384776,14.588322356384776,18.594804036606394,14.588322356384776,29.17664471276955,33.18312639299117,0.8822875060429097,47.77144874937595,29.17664471276955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,654.484497640056,654.484497640056,72.720499737784,0.25579936952118465,0.06021565715945698,0.15465207154064442,0.18795252219778869,0.3545355688576819,0.36278271635248915,0.07443638034230204,0.0804385178279503,0.21660355557047917,0.36819789744182685,0.43477055880634663,0.7294025747781644,0.9533601116881764,0.1013433851467821,0.9471410194359137,0.3000710418145618,0.43866065043635405,0.12109803205429004,3.371556291530229,3.2759337533098885,3.4652558571217695,3.174876887792122,9.91606649822378,9.91606649822378,13.287622789754009,9.91606649822378,19.83213299644756,23.203689287977788,0.40044219449704166,33.119755786201566,19.83213299644756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,147.4301053883508,1326.870948495157,147.4301053883508,0.30981810542961785,0.34820152468456933,0.7917461668270092,0.9627627795184895,0.7820298210840515,0.7932529846915208,0.9116738069903294,0.5061637194974526,0.8188986346736187,0.62087993390149,0.010622378251667786,0.07842671921166511,0.6631609563198726,0.9648791262831072,0.38810435486637485,0.7548998477261075,0.3205903005985382,0.8752938037263441,5.561186234373952,5.8582387297977485,7.437916180559075,7.110803910556589,20.40695882091341,20.40695882091341,25.968145055287366,20.40695882091341,40.81391764182682,46.375103876200775,0.6983088563672415,66.78206269711418,40.81391764182682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1036.0531911690566,1036.0531911690566,115.11702124100628,0.997190749252977,0.7057912523700968,0.9550186277649979,0.6147574799170826,0.9471543891952636,0.3641077475296236,0.31248514362181745,0.42449867262120267,0.7695798160039591,0.545728731432091,0.037169578287168936,0.0633982354207725,0.3064710924260765,0.3499108526872732,0.6115413300883028,0.006676144478300894,0.11365876760200522,0.16075069101132278,4.575090781000068,4.778583584181357,6.253295654511068,4.8149142570236325,15.846793495716058,15.846793495716058,20.421884276716128,15.846793495716058,31.693586991432117,36.268677772432184,0.8912528327293526,52.11547126814824,31.693586991432117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,142.64082347536547,1283.7674112782893,142.64082347536547,0.5616321893090032,0.04386556491369187,0.1198113978982207,0.547481114398626,0.9198678151519728,0.7859714495396212,0.9057598058180717,0.5843928172271474,0.7781589589171259,0.886034980529689,0.10904784184903937,0.9383441074812822,0.6696086608019312,0.8360344656491655,0.669798943952475,0.909307265744633,0.6695242719970901,0.4714151088571096,5.7611866923501,5.714512013457318,7.766058965527773,6.201913596230096,19.682484575215188,19.682484575215188,25.443671267565286,19.682484575215188,39.364969150430376,45.12615584278048,0.41320641621021603,64.80864041799566,39.364969150430376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
