t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1.0,369.803896738539,4437.646760862468,369.803896738539,0.4654755138504012,0.8376769774139394,0.7803956135278173,0.1433312216887903,0.824584738886666,0.5200333146642243,0.2616888983807122,0.16940437028720534,0.8133657800588495,0.2623295291450506,0.9405768122747796,0.3739988031938789,0.8368609288658825,0.08532480056158653,0.5126660175858038,0.2717503714977296,0.885607813158278,0.9446359335015474,0.1869749836854231,0.567579391024817,6.347793828818331,6.257307907077541,6.813267978914108,5.502654154500373,6.463355813742528,6.206185575074585,31.38437968305288,31.38437968305288,24.571111704138772,25.881725528552508,24.31394146547083,18.57323004049202,24.571111704138772,18.57323004049202,130.2270425762074,49.957609723544905,156.36593834342784,156.36593834342784,105.91310111073655,149.05744285536736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,347.43442253317534,4169.213070398104,347.43442253317534,0.7650145795135289,0.9694251096227375,0.7512703172131822,0.3002463582178312,0.9956214453094795,0.5725734351157931,0.39301936573310414,0.28916402890861437,0.4583763619725538,0.15443608062196956,0.8921725321146395,0.26324814658044293,0.24281773518466876,0.8947517173567928,0.9631090414976237,0.37969944470600103,0.09552123853449779,0.7983172012793154,0.5835453444906786,0.4015719218285754,6.466545092746411,5.870260697063648,6.174744798721555,4.8580826812043245,6.1756515003906465,5.792721444675557,29.54528477012658,29.54528477012658,23.37053997140503,24.68720208892226,22.98760991568994,16.903088176989527,23.37053997140503,16.903088176989527,122.35180760433765,46.44837294711611,147.42193974897503,147.42193974897503,99.36419768864772,139.63782583704227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,397.70291550602224,4772.434986072267,397.70291550602224,0.6905231969531201,0.8637356059299368,0.4353823505042127,0.7387804950259554,0.2943302556721661,0.8853891183570879,0.48006229171647463,0.6250210813920458,0.28728768099797886,0.5604207360927537,0.6799950096819739,0.7599458397352344,0.9214363868826354,0.7983338494650146,0.9698751288908365,0.07607752187334604,0.8725892299937404,0.4149207741187517,0.2599410537220169,0.4250263631845518,6.988336252058568,6.087814010337445,7.044797658900801,6.669527875247609,7.052977308533549,5.766281936842832,33.84345310507797,33.84345310507797,26.79865544617717,27.173925229830363,25.511960074486453,19.802139544485854,26.79865544617717,19.802139544485854,139.79966127530543,53.645592649563824,168.26028187682653,168.26028187682653,114.28770120081897,160.88849619148198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,415.4902122558338,4985.882547070006,415.4902122558338,0.40803767280336734,0.9046480719737185,0.9390178613750256,0.1679784586452675,0.2621197353805429,0.8343425303981935,0.9615382274353316,0.8550928248041423,0.47719453039192516,0.1593142389873855,0.4853235839237158,0.484848543534632,0.6106121553577967,0.20906660918820086,0.824121430472543,0.7383640128847242,0.911003098344368,0.2954158795368589,0.4545337827439827,0.9254114315314571,7.320219175163876,6.0100687300483635,7.632253135315195,7.094452470195062,7.4333286899640605,5.751317620604373,35.490322200686556,35.490322200686556,27.858069065371364,28.395869730491494,26.176057996011675,20.73677433555862,27.858069065371364,20.73677433555862,145.7515457983148,56.22709653624518,175.82942659816598,175.82942659816598,119.5754878023031,168.1703312032331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2874.682969854195,2874.682969854195,239.55691415451625,0.287216485882683,0.10416743347370239,0.10755180075636128,0.46738813833788506,0.11216423676426723,0.03175731947818905,0.9735341389104024,0.2516516979896424,0.6029771319059922,0.735489765546334,0.08890804042296607,0.6337052178911655,0.1846845703871124,0.5251966366134418,0.38120475205842386,0.5571998178863802,0.4952878968059199,0.47433061197209614,0.7019883054854021,0.7237699817214531,4.625012505199636,2.398259486090209,4.674982832078971,4.189308004508203,4.9324819856218705,3.705245007107857,20.82004481349889,20.82004481349889,16.145061981419918,16.630736808990687,14.917825002905905,11.262550322677384,16.145061981419918,11.262550322677384,83.96552693400099,32.08259513617627,101.82350072150568,101.82350072150568,69.04770193109508,96.45531423519238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,339.1362919172021,4069.635503006425,339.1362919172021,0.805269835468954,0.18290454920705201,0.5928401263171079,0.26160043741971195,0.8352921688672855,0.9568233526707722,0.14699452512078215,0.5808660410651134,0.9260013206810097,0.0062158276700796655,0.24679046010167027,0.16084465939689285,0.09772668424126685,0.5871034337445793,0.6687876209094665,0.683108747212113,0.5424246135409799,0.6531685973274975,0.7596573452467159,0.7110433662134921,7.297440734682574,4.959280236944724,6.334151276052712,4.519020558965123,6.138646705746977,4.561004388740395,29.248539512392114,29.248539512392114,22.9143882363394,24.72951895342699,21.33674591933282,15.81245207196256,22.9143882363394,15.81245207196256,118.560665252419,45.060991584354674,144.86782652285257,144.86782652285257,97.22391933308617,135.95075964138812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,354.2087716680973,4250.5052600171675,354.2087716680973,0.9858266555985878,0.5737362692818921,0.5662366304172128,0.2626351243714634,0.3351718194416564,0.27415570827633406,0.2094586583820507,0.5228849283669283,0.868091573865403,0.700182412909535,0.8565528864323224,0.20875484261728805,0.8264112554898875,0.13083828606664805,0.3210979083806995,0.6529081576309367,0.9950924076244013,0.34445950317464313,0.5006031978135995,0.3698263880045808,6.3304776441969794,5.470917377775909,6.988905745105912,5.420387209517308,6.03848595610129,5.603674898079479,30.2491739326974,30.2491739326974,23.260268187591485,24.82878672318009,22.825457129569674,17.88021033239913,23.260268187591485,17.88021033239913,124.46428351495508,48.12938426509653,149.72788129615697,149.72788129615697,101.63882638538541,142.77930490537602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3519.8898766961256,3519.8898766961256,293.3241563913438,0.6678186720786056,0.04747042010461211,0.40380561589161157,0.940702967365017,0.7755880256303553,0.7381705023370257,0.07742245123598979,0.08347630818919083,0.23859774119122024,0.4318454795110743,0.7631146060608118,0.2704164013579593,0.9269926897746358,0.3666148059666071,0.7079730286586605,0.5370418762782018,0.16866555076960188,0.39752565747598234,0.7515644361472383,0.3256078818041023,6.178221565989428,4.179315968573256,6.044987551685025,4.116583964334975,4.767565379882223,4.093472501138438,25.286674430464906,25.286674430464906,19.24168687877988,21.170090466129935,18.567594000036095,14.340887484593257,19.24168687877988,14.340887484593257,102.72351722433905,39.627561915058166,124.56770056921275,124.56770056921275,84.15592322430294,117.73849758767608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,357.14543116634314,4285.745173996118,357.14543116634314,0.8887809701630973,0.6180970252332655,0.3072590929780402,0.49701601588803646,0.024638906460723642,0.5218891078199881,0.3216595996315633,0.2586885579133459,0.160130907186253,0.6219205222758853,0.4433224970338483,0.6195290649000483,0.8345848188675051,0.2875071037852386,0.7071116387257901,0.4648684800485725,0.8453529457416794,0.7445515846782665,0.8130793642649791,0.48466290088653574,6.366740723579962,5.229065540761714,7.04466319964032,5.938724280935862,5.923689166572945,5.296439561480082,30.5028829114908,30.5028829114908,23.458219711850482,24.56415863055494,22.83097010675762,18.212453021337897,23.458219711850482,18.212453021337897,125.50740866292759,48.715335932828694,150.69881689857542,150.69881689857542,102.67643855616998,144.34711128935837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,369.82921223656234,4437.950546838748,369.82921223656234,0.526110186290442,0.15311855446772438,0.8228469408168653,0.5213748428290552,0.7873045269199969,0.6817039877654146,0.6715886222747528,0.9855518618575743,0.50296254391258,0.6534473360810397,0.5861837950544531,0.64140805036465,0.3985459598459573,0.23120787131732468,0.9860118691374052,0.5654189873675715,0.44932296386307957,0.05936013123020234,0.6073201695772816,0.6501836595770436,7.68863729373569,5.168172994429248,6.936731322937066,5.604070273890722,6.345755884603947,5.745864330232868,31.743367769596674,31.743367769596674,24.806636446659603,26.13929749570595,24.206744892288526,17.708974591257036,24.806636446659603,17.708974591257036,130.20909146939852,49.452342360853706,156.94828051947553,156.94828051947553,106.00234657710999,148.51795761502663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
