t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,67.48572181312835,67.48572181312835,11.247620302188059,0.9507605846029547,0.46340489283194597,0.040634566712701825,0.5870758784360637,0.5388239727608046,0.007225400231422707,0.06842901837706583,0.6780523359552658,0.21159425879500326,0.3985039613255261,0.008463522979596183,0.6272867981926264,0.7125730602392352,0.10761138889968347,0.15257551691540616,2.6022516508897864,2.5707598858646445,2.8505619891230816,3.3922367798673947,3.696471428785004,0.0,0.0,0.0,0.0,0.0,0.0
0.0,58.316032537161256,58.316032537161256,9.719338756193542,0.9505141385682818,0.7401616465262539,0.32120642760411744,0.6841185249210046,0.04028243126299125,0.6954764076851712,0.3301142431673203,0.11502019103626082,0.04371301677327699,0.3196926503691071,0.22326061882694992,0.2508095367846488,0.6265015082017886,0.06380661984706681,0.34581064582119303,2.605839456878975,1.811100480640775,2.554114690724365,2.8267222429637133,3.506455887200051,0.0,0.0,0.0,0.0,0.0,0.0
0.0,86.75294495040399,86.75294495040399,14.458824158400665,0.14814257634161943,0.12995809305749462,0.6448776585482917,0.7586651562753286,0.3193804977386505,0.2659362001471509,0.7026428872110355,0.9356916364707919,0.6493033788485326,0.11086361668525369,0.1109675904321259,0.23467878094338446,0.09033904579896723,0.5511383004835657,0.29027238639101716,3.7210408534536406,4.080887835482541,3.1699752604355496,3.6371228972272998,4.769226138293315,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.975246193930683,113.8514771635841,18.975246193930683,0.459261803971304,0.7553802656704371,0.8133428733721579,0.2703360823623411,0.541372244426943,0.5879445367170808,0.3074566440907517,0.7636847712888755,0.39175033777833823,0.896242304468707,0.22171176995230402,0.11745774627950367,0.7791961513523945,0.8618793510841333,0.2727171404989951,4.394059359280453,4.7603197347338,4.941541707633953,5.651650941793542,5.7152160541194155,0.0,0.0,0.0,0.0,0.0,0.0
0.0,82.81482573964291,82.81482573964291,13.802470956607152,0.8892482435063054,0.4343579284801544,0.4269090340132403,0.31289779570768494,0.5932668961379546,0.1443733835924682,0.30553059983216346,0.6536985000212634,0.5208723720627856,0.18094046170743905,0.5869195907024749,0.6506182902821889,0.9397495292032658,0.1454697479738788,0.11887480605937717,3.391856214678665,3.4209743983267216,3.251496287765067,4.071490669803594,4.5289455665004565,0.0,0.0,0.0,0.0,0.0,0.0
0.0,85.40578539562829,85.40578539562829,14.234297565938048,0.02012770584318313,0.2831513484202658,0.15982158086158837,0.5718721753591626,0.35420288858874394,0.6092365631179671,0.24786522329001703,0.8926592617084548,0.9487016079123851,0.21283626562916025,0.8185632314846022,0.05849066433087535,0.33361564332825977,0.10135392258007803,0.39619294504580294,4.579740999171659,4.0600109341241755,2.6186516929551154,3.386823239816871,5.098933152421712,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.14245520980961,108.85473125885767,18.14245520980961,0.39518985137188123,0.18687911595298012,0.42247193070778255,0.9295327440123525,0.9823043478653544,0.9173580354886177,0.7816772560434839,0.5896761427067386,0.7143301362832891,0.05844509904383077,0.9223068941581889,0.36923475310489917,0.9519287323345992,0.5133500382731525,0.60430689898526,5.755737454740674,5.1324173330506895,2.880342314339655,4.410622847392532,6.9650945629328875,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.207592040099154,115.24555224059492,19.207592040099154,0.3177481352765873,0.07759050372867526,0.8996135771505662,0.9240377560227477,0.9382486085897779,0.21292476329216448,0.28745143118737126,0.9732523591392161,0.22724880766251188,0.7735784936296468,0.37113023533367606,0.2487857466426986,0.566415421834556,0.8524768016064317,0.334944108686014,4.576909835375201,5.959586639134574,4.121508678193635,4.953905820080316,5.886725506834917,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.494625825194976,128.96775495116987,21.494625825194976,0.5249440430531999,0.7724285007638857,0.821880708389893,0.9709770637449522,0.03885381813741162,0.8276736743324807,0.1635293978010529,0.7539027524266032,0.6837624477133598,0.8645861123908083,0.1888737177341412,0.9672514758474706,0.7906839756217328,0.748294554777552,0.4827446582490281,4.984766529630387,5.071131175314722,5.169799119515303,6.885535186180334,6.98013351566972,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.19795110193698,115.18770661162188,19.19795110193698,0.9195333320805019,0.5782269085803389,0.9927608760655505,0.9433792134985719,0.47202437801039976,0.6228683564589802,0.1708855309234979,0.7195669481004454,0.4168163856773919,0.10353253084600966,0.9581104844545889,0.43380829988580083,0.005243812604971865,0.7785173526146454,0.3547946291340257,5.489510027395362,5.384708169267604,4.508954333964884,4.3832677435091805,6.19773638905067,0.0,0.0,0.0,0.0,0.0,0.0
