t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1.0,27.985280797472146,195.89696558230503,27.985280797472146,0.06077101599860413,0.9457052009092838,0.8152270069250397,0.6560133122870861,0.6183244527100068,0.6973581256105981,0.8180372202893436,0.743642969688414,0.09896777655987077,0.050704585297430826,0.7370117197039061,0.9595916945988316,0.5976784896109855,0.9852136388572732,0.6868124557241312,0.7239259223221827,0.3151646316729535,0.6764614351404814,6.341353045704166,8.666576466474115,4.093462512107974,6.069132434305947,7.258618839517155,6.7038831685424185,5.941084425839986,7.193287824743953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.2612176896559,154.2612176896559,22.037316812807983,0.22957565061403984,0.27672899495523984,0.4757644743757794,0.6298102012894036,0.16050718513319961,0.7869551962169155,0.511962420569005,0.736235913031069,0.6810687627593223,0.6004253690452738,0.25696877230501103,0.8830021378146639,0.10709373337206829,0.854876343594578,0.8492251638350484,0.3135748544175395,0.7804406615348998,0.28060445395002775,5.617043919242398,7.188595672746059,4.7281196014922315,4.117340864044095,4.8748864448156075,5.095722763358798,4.7090856662909575,5.094096792460439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.75407129390181,166.27849905731267,23.75407129390181,0.17192508893933434,0.8545100680642576,0.8343258083269808,0.4659178286079658,0.5836376578158439,0.5505189351652543,0.643291021559718,0.5935591035059635,0.2878275726040369,0.3450804635274449,0.3685539421748304,0.6747079760873909,0.4373959102776379,0.07181044948813009,0.47761241849391867,0.33668067402320234,0.5939242655824902,0.6946878899439448,5.6316551200806355,7.633022685593197,3.8698514187951663,5.333479631487057,5.166519246190726,4.84477275257956,5.573936318150423,5.2930183557797275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.74584452582897,166.2209116808028,23.74584452582897,0.9411669411942597,0.8360452391897507,0.09457702420249658,0.5371053675399882,0.9633380620179208,0.6599031471673086,0.3239481079533082,0.8563676060574333,0.3604426894776691,0.23660250162262075,0.09623093088442813,0.3839175099531028,0.9720263320459661,0.48877714301309705,0.9454961397005571,0.3869814616397256,0.6430566423994722,0.6219932196431888,5.97326358042508,8.056978506001641,5.088338132619355,5.6932061336191335,5.194201781974575,4.9418764637882076,4.623185281030375,4.601426381373358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.068137909756956,175.4769653682987,25.068137909756956,0.5102096854503494,0.44044409262485995,0.5026079658190891,0.8935042019133164,0.07501298342166174,0.8831211000794961,0.7692453566973516,0.6545771287019289,0.7105648875567198,0.8831144371500163,0.6690705164133535,0.13346662162801848,0.7192555146557295,0.20483561348450907,0.4590622248085596,0.749581253009253,0.8236176759474981,0.270181789473235,5.959046253200531,7.9736781912894195,5.729979598510914,5.637920952143243,4.849529792604188,5.785606989465858,5.257662223043705,6.026779253453093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.67071682966859,165.69501780768013,23.67071682966859,0.3333919730150583,0.023454870813851336,0.28284464947371013,0.3643548251380191,0.9898660456503093,0.33319038944097634,0.5706368323291217,0.5495012674562857,0.28966128430756755,0.4020778533638665,0.6541603383177117,0.8500548984231742,0.516792875286385,0.9917752329948448,0.2611653809864588,0.7626589315616985,0.4792765358804041,0.5632310711681466,5.911918067281514,6.957936392130545,4.2951246360571975,4.8943773902616154,6.357417342079012,5.89366060456557,5.297286478960441,5.133531436920213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.059229382789,175.414605679523,25.059229382789,0.3534211149591391,0.7718619578015252,0.4777205684060858,0.09566793038052479,0.05348496801215297,0.7464757446159872,0.8654712947020488,0.8648996826094679,0.6805043463141139,0.25722280145851195,0.7742155872038262,0.7782649136871522,0.41992747932833785,0.6772092993653313,0.08602305017336442,0.9186300330424623,0.4204636917970157,0.3540003416349815,5.21992281499068,7.603695166084985,4.709380649192884,5.571932799744141,6.315260879517461,5.219526956729332,5.486369209357829,6.707707310840228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,140.15919771566425,140.15919771566425,20.02274253080918,0.9611637114410242,0.9232569369299932,0.17462819991910816,0.27043925544663583,0.7712732257075491,0.5822448799858299,0.7528216433260603,0.710064614865176,0.16181312525107783,0.2966482519111424,0.4331639449247654,0.2587867679771402,0.9440289312121991,0.3921777406392126,0.14578349572993987,0.034113595394121066,0.010090320770460237,0.6586822761037507,4.326578669864832,6.104578566682253,3.411523336391458,5.54523963718246,5.230988997778912,4.323435984897291,3.722456644889109,4.957802083999161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,135.10855823721644,135.10855823721644,19.301222605316635,0.523999271035653,0.9858335679188585,0.9449819804893724,0.9704053737526099,0.14439981523311496,0.03607486631122003,0.41557887512580005,0.05043687914015271,0.626430912043283,0.43206014466279086,0.4985525489678698,0.08764783128961562,0.7817371122739093,0.9313133798963337,0.7590289737984981,0.24512593647218184,0.6380631117894239,0.023629610408850366,4.333564090458591,6.254003290799141,3.7973273883187035,3.8850946206400647,3.814578589115569,4.276980535334497,4.626725459275361,4.563587789393431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.342613733878654,170.39829613715057,24.342613733878654,0.6672871839098498,0.3878371670602311,0.8311296233980413,0.5817086974467014,0.17277248615233776,0.6141176324386372,0.28690461792858846,0.5515060738579273,0.15759852911567218,0.713327998958551,0.715104095628322,0.3568368095361195,0.8490201525478083,0.28323301071757756,0.029101371331000325,0.9618388363744439,0.7991413655058185,0.26154334267219514,6.122200745905316,7.400875484577106,4.85644879735378,5.876464440450536,4.690904438886293,5.686281797644734,5.357130254401732,5.606542399034514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
