t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,7.749195393569108,30.996781574276433,7.749195393569108,0.06690220452177786,0.839896040907118,0.853587591388892,0.2933602419346777,0.7593487084825136,0.08173759920977486,0.4824891620498961,0.553227121627391,0.9465956134828664,0.47259491624858274,0.16517710927255758,3.6086197673199645,3.0443930060602935,4.673830001433759,3.733003754965312,3.827242637871691,0.0,0.0,0.0,0.0
1.0,7.94906221780479,31.79624887121916,7.94906221780479,0.9028487000228621,0.48371573421619607,0.5356900296655909,0.46528007501626867,0.8603603627273525,0.5431297173846747,0.4375832714213749,0.3737382004327857,0.7087757085292079,0.2774617775242545,0.35776494257172975,4.085018052103086,3.104305063297036,4.542858439400271,4.028510497012977,3.7038401639512157,0.0,0.0,0.0,0.0
0.0,21.664472953949858,21.664472953949858,5.416118238487464,0.32228262838910615,0.6727031105752272,0.9404623035959213,0.36901139835916885,0.5707753765645054,0.30709437037601583,0.1975915678915191,0.47095815029866483,0.47739558140150495,0.01781072351383839,0.040021093469990165,2.505857225915867,2.0011712876483316,3.5082365574949415,2.298580081805692,2.6682670088371077,0.0,0.0,0.0,0.0
0.0,21.363013529289663,21.363013529289663,5.340753382322416,0.10907980461438749,0.2541211436167683,0.43330356831384076,0.09873177082499407,0.4016689935552322,0.37383577168193527,0.01132478235653911,0.3962334564826234,0.2903486958181648,0.5725209168153125,0.8017487414549069,2.8092133128406376,2.4240527588021634,2.9674128802975375,2.4408130782313116,2.4724476529899198,0.0,0.0,0.0,0.0
0.0,30.474038492611864,30.474038492611864,7.618509623152966,0.8099420589640446,0.22597570941847367,0.024941519805319667,0.4037678392135208,0.7222554875502453,0.27239231107209794,0.25074924658244735,0.44011711007352516,0.8897761138292608,0.4775825713856967,0.6397068400055669,4.0062419613311135,3.483100403676568,4.162559009277856,4.015988027735736,3.3186740599908093,0.0,0.0,0.0,0.0
0.0,19.860482599502458,19.860482599502458,4.965120649875614,0.39643817983222485,0.33497825964394534,0.44769872461355653,0.03704123210490362,0.8003859463379067,0.6336820997168627,0.6276678584454453,0.12398964652908506,0.030904444858179225,0.44256786432809947,0.15939023250045714,2.749618585854299,1.488268627691991,2.6006764428558964,2.7923327859462583,2.439645564221908,0.0,0.0,0.0,0.0
0.0,12.931579705307968,12.931579705307968,3.232894926326992,0.1288720060230245,0.055555422202485216,0.23214292990988905,0.06024308721419025,0.8438176373828183,0.5178214718546104,0.4753584255277937,0.18058423570056525,0.5021742212500068,0.00784071527857233,0.027136519364737266,1.8953430172017953,0.9021631198193913,1.6699075624712643,2.0407549470294386,1.429080239556509,0.0,0.0,0.0,0.0
0.0,26.56606606934776,26.56606606934776,6.64151651733694,0.1370445740501458,0.5258273251489254,0.8388860627420468,0.8109836415148151,0.6690827525216052,0.9424813334066834,0.24060921330026597,0.3099129772765583,0.38657147834887895,0.2993127005634749,0.6263288889548649,3.468088491049797,2.284997944342848,4.175476861899976,2.884776932888161,3.054580243108602,0.0,0.0,0.0,0.0
0.0,29.79410127957158,29.79410127957158,7.448525319892895,0.03802561052602704,0.5521822437530494,0.517934933423653,0.3843260495241,0.05435324417248766,0.16330335689113173,0.9130413869891023,0.3969806683367866,0.9723267483482348,0.45484310848914344,0.257191843666842,3.7478949670003168,2.671550223120083,4.4868525930569385,3.2419641859448864,3.7055458751960515,0.0,0.0,0.0,0.0
0.0,21.32975569088527,21.32975569088527,5.332438922721318,0.5802709226720367,0.09730549789241083,0.13099168044477627,0.9130226339238655,0.909721717350714,0.835597955696986,0.529255595639796,0.1369582649685015,0.22259646568849978,0.1800292952878585,0.4209535157332783,3.0029675135793674,1.6381139622425853,3.211383872251023,2.940133010264594,2.161402973358656,0.0,0.0,0.0,0.0
