t,y,mu_0,mu_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,25.919473139801926,25.919473139801926,5.1838946279603855,0.7193962423303881,0.06356915503049154,0.13905223469293748,0.23948875367701905,0.5206206293605572,0.2664622390691149,0.8438264646917224,0.5240395678115309,0.2647707552431011,0.27263142908784055,0.6234688705423147,0.15526090917705504,3.127548884099161,3.491467860137515,2.39348300515435,2.143229440569353,2.508589160752855,0.0,0.0,0.0,0.0,0.0
0.0,33.19899004433351,33.19899004433351,6.639798008866703,0.8436048291121794,0.9372508403346723,0.4535112519700888,0.7919141973017203,0.2503879633123589,0.8115501259170885,0.061384685820943696,0.23864192368303494,0.4778973413708614,0.3238491636879751,0.2570616042043309,0.39627976109275953,3.7822049176755015,3.791898971685986,4.291676448469773,3.4228948316753547,3.277003033894954,0.0,0.0,0.0,0.0,0.0
1.0,7.808165429423577,39.04082714711789,7.808165429423577,0.7894466135890783,0.5920786235130872,0.7625072504814366,0.2041527116079308,0.40010020384919,0.5048270167555131,0.8336510686040811,0.1908903525835942,0.48653977342498045,0.7498453202658705,0.748938390948693,0.9850648062804126,4.720346528655931,4.968703695278864,4.239779439581106,3.9575099786245684,3.372545376193346,0.0,0.0,0.0,0.0,0.0
1.0,11.163227203512971,55.81613601756485,11.163227203512971,0.8081286877883416,0.5022799761359681,0.801008859676332,0.9109742472986652,0.9516607913825044,0.9488761489511947,0.04955991271736415,0.8153324090795224,0.8001198508199686,0.941259872643792,0.8418016933864335,0.30308557969522676,6.461592140912862,6.61399761314055,6.561653057991877,5.114853629059576,5.763428840746855,0.0,0.0,0.0,0.0,0.0
1.0,7.4254857930150155,37.127428965075076,7.4254857930150155,0.48767781221412376,0.8968567910311921,0.21786439117391043,0.07612888470733747,0.5061280061727484,0.9123297422670209,0.36596299628786944,0.1632055013723811,0.7144792447070275,0.9028958482283245,0.4681049158067977,0.4034033847817129,4.357212510706505,4.311626579487588,4.351865319293991,3.625074570634773,3.7277991920258087,0.0,0.0,0.0,0.0,0.0
0.0,31.73398478591478,31.73398478591478,6.346796957182956,0.9861986092990069,0.6446345604937442,0.00835967736468679,0.4277642417492795,0.3088473949721319,0.03686650320024132,0.108239306610876,0.8342502028466321,0.11971545370658232,0.12629795599429838,0.8025702297701245,0.9961529368046089,3.8308740844472076,3.3806790235083555,3.0004588251255893,3.9513855813652703,3.2640800395327934,0.0,0.0,0.0,0.0,0.0
0.0,32.64567578863001,32.64567578863001,6.529135157726001,0.714377413995591,0.4286528901006933,0.7434149228453227,0.6506140435393558,0.6456228046659501,0.4323546755435569,0.24662256529698234,0.4066019117863152,0.16628865072405474,0.6419523045222025,0.15037794966049634,0.5485469483921374,3.897288848300626,4.0801480431413735,3.620257348721997,2.993034698725255,3.0901105549990677,0.0,0.0,0.0,0.0,0.0
0.0,26.237016680883208,26.237016680883208,5.2474033361766415,0.6949849536162711,0.1718095851911583,0.35190611521134885,0.0017778323271595564,0.6055596641440514,0.06200646215802463,0.5564824068224357,0.5838441762211021,0.5464927722661085,0.026166586625928412,0.43425961359312726,0.7529146049152684,3.415023466869096,3.27829875240242,2.1782631435939575,2.5172651711398526,2.3699102303686352,0.0,0.0,0.0,0.0,0.0
0.0,33.40400940554073,33.40400940554073,6.680801881108145,0.518068631514891,0.47732213324166506,0.6526072519007606,0.4898831838864396,0.9874248402025313,0.41683596968015957,0.564870534019305,0.4228666979379705,0.15791612266835742,0.591334841406246,0.16376737417161114,0.21744545230370782,3.971307893044033,4.507992979434887,3.37253357489321,2.5205358056159977,3.290515193514821,0.0,0.0,0.0,0.0,0.0
1.0,8.135879284594902,40.679396422974506,8.135879284594902,0.5581848271004082,0.4585694970226679,0.5083955450800598,0.6617125965219889,0.03332167568380451,0.9766343631604546,0.673808668023058,0.4767931133129115,0.9233177411060125,0.43989731953588906,0.9635871032423823,0.06720669508901056,4.362066822084135,5.139403259528774,5.408907278982367,3.9910840658308624,3.957199046425657,0.0,0.0,0.0,0.0,0.0
